Symbol,Quantity,AvgPrice
BNP,10000,63.02
BNP 14JUN24 63 C,-100,0.8
DELL,0,128.95
DELL 07JUN24 121 P,5,0.0
DELL 07JUN24 125 P,4,0.0
DELL 07JUN24 130 P,6,0.0
GLD,4000,213.16
GLD 07JUN24 217.5 C,40,0.0
GLD 07JUN24 220 C,40,0.0
GLD 14JUN24 212.5 C,-40,2.36
GLD 14JUN24 217.5 C,-40,0.51
HES,1000,148.25
IWM 07JUN24 208 C,58,0.0
QQQ,-6000,460.0
QQQ 07JUN24 458 P,10,0.0
QQQ 07JUN24 460 C,60,0.0
QQQ 10JUN24 458 P,-20,0.18
QQQ 10JUN24 459 P,-20,0.25
QQQ 10JUN24 460 P,-60,0.22
TLT 07JUN24 92.5 C,5,0.0
TLT 07JUN24 93 C,41,0.0
XLV 07JUN24 147 C,10,0.0
XLV 07JUN24 147.5 C,25,0.0
XLV 07JUN24 148 C,9,0.0
XLV 14JUN24 147 C,-22,0.52
XLV 14JUN24 147.5 C,-22,0.42
