"BOF","U8251256","Portfolio Dashboard","6","2023-11-14","2023-11-14","2025-10-06;04:33:09","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"21891226.708064012","0","0","0","22123896.325140253"
"EOS","CNAV","1","22123896.325140253"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
157.64256,157.64256,0.0,900.0,,,1.0,600519,STK,COMMON,,1765.27
-1742.432,-1742.432,0.0,6800.0,,,1.0,700,STK,COMMON,,307.8
-4087.028,-4087.028,0.0,22000.0,,,1.0,9988,STK,COMMON,,79.2
530.78139784,5639.04,-5104.06,0.0,,,1.0,AAPL,STK,COMMON,,187.44
95.16223935,4642.8,-4544.25,0.0,,,1.0,BRK B,STK,COMMON,,354.25
-4373.43,-4373.43,0.0,19970.0,,,1.0,CANE,STK,ETF,,15.07
-2976.01810903,15859.2,-18830.88,0.0,,,1.0,CEG,STK,COMMON,,126.52
3273.32,3273.32,0.0,8614.0,,,1.0,CMCSA,STK,COMMON,,41.87
-9224.88,-9224.88,0.0,1734.0,,,1.0,CME,STK,COMMON,,211.76
3180.36,3180.36,0.0,204.0,,,1.0,CMG,STK,COMMON,,2166.02
-8829.0,-8829.0,0.0,1962.0,,,1.0,COR,STK,COMMON,,194.37
18144.88,18144.88,0.0,17447.0,,,1.0,CWB,STK,ETF,,67.09
20974.1,20974.1,0.0,3154.0,,,1.0,DLR,STK,REIT,,134.3
6681.0,6681.0,0.0,6550.0,,,1.0,FTNT,STK,COMMON,,51.32
4.01088594,5702.08,-5684.92,0.0,,,1.0,GE,STK,COMMON,,117.25
-558.68,-558.68,0.0,13967.0,,,1.0,GSG,STK,ETF,,21.18
729.71371466,9356.22,-8617.91,0.0,,,1.0,INTC,STK,COMMON,,39.41
934.7846805,36732.66,-35783.7,0.0,,,1.0,IWM,STK,ETF,,178.46
1126.25958259,3020.9,-1883.14,9204.0,,,1.0,KO,STK,COMMON,,57.1
156.45905415,-1207.71,1367.46,0.0,,,1.0,LLY,STK,COMMON,,610.82
8669.94,8669.94,0.0,3786.0,,,1.0,MCD,STK,COMMON,,271.49
-13842.86,-13842.86,0.0,823.0,,,1.0,MCK,STK,COMMON,,453.82
188379.99067518,1368284.95999999,-1179019.89,0.0,,,1.0,QQQ,STK,ETF,,385.33
1281.0,1281.0,0.0,1708.0,,,1.0,SGEN,STK,COMMON,,213.95
990.37515476,12292.29,-11292.23,0.0,,,1.0,SMH,STK,ETF,,161.09
2762.15966483,26226.21,-23447.24,0.0,,,1.0,TLT,STK,ETF,,89.78
12247.61100953,93035.84,-79713.41,0.0,,,1.0,TMF,STK,ETF,,4.91
1176.09546026,14334.98,-13143.11,0.0,,,1.0,UPRO,STK,ETF,,46.45
3814.94,3814.94,0.0,7198.0,,,1.0,URNM,STK,ETF,,48.04
15976.8,15976.8,0.0,15216.0,,,1.0,VCIT,STK,ETF,,77.1
91.16195302,-9014.85,9110.06,0.0,,,1.0,VRTX,STK,COMMON,,369.95
-406.5820916,-406.5820916,0.0,-31131.86,,,0.0,AUD,CASH,,,0.65074
-4041.50118028,-4041.50118028,0.0,-673583.530046285,,,0.0,CAD,CASH,,,0.7303
-4.6e-07,-4.6e-07,0.0,-2.9287e-05,,,0.0,CHF,CASH,,,1.1248
84.38978923,84.38978923,0.0,-1480777.4819817,,,0.0,CNH,CASH,,,0.13792
-3021.96942619,-3021.96942619,0.0,-167887.19034397,,,0.0,EUR,CASH,,,1.0879
-414.66786235,-414.66786235,0.0,-12174297.24689932,,,0.0,HKD,CASH,,,0.12812
1e-07,1e-07,0.0,0.0017635,,,0.0,JPY,CASH,,,0.00665
628.4070904,628.4070904,0.0,73497905.31,,,0.0,KRW,CASH,,,0.00076621
-3.32e-06,-3.32e-06,0.0,-0.00382842,,,0.0,MXN,CASH,,,0.057655
7.4e-07,7.4e-07,0.0,0.000335185,,,0.0,SEK,CASH,,,0.094419
3.5e-07,3.5e-07,0.0,6.23e-05,,,0.0,SGD,CASH,,,0.74145
0.0,0.0,0.0,15998722.603852447,,,0.0,USD,CASH,,,1.0
238572.2962402,0.0,0.0,,,,,,,,,
"EOS","MTMP","44","477144.5924804"
"BOS","CRTT","Cash Report; trade date basis"
"CurrencyPrimary","EndingCash","EndingCashSecurities","EndingCashCommodities","NetCashBalanceSLB","NetCashBalanceSLBSecurities","NetCashBalanceSLBCommodities"
"BASE_SUMMARY","13596216.367183857","13596216.369463956","-0.0022801","13596216.367183857","13596216.369463956","-0.0022801"
"AUD","-31131.86","-31131.86","0","-31131.86","-31131.86","0"
"CAD","-673583.530046285","-673583.530046285","0","-673583.530046285","-673583.530046285","0"
"CHF","-0.000029287","-0.000029287","0","-0.000029287","-0.000029287","0"
"CNH","-1480777.4819817","-1480777.4819817","0","-1480777.4819817","-1480777.4819817","0"
"EUR","-167887.19034397","-167887.19034397","0","-167887.19034397","-167887.19034397","0"
"HKD","-12174297.24689932","-12174297.24689932","0","-12174297.24689932","-12174297.24689932","0"
"JPY","0.0017635","0.0017635","0","0.0017635","0.0017635","0"
"KRW","73497905.31","73497905.31","0","73497905.31","73497905.31","0"
"MXN","-0.00382842","-0.00382842","0","-0.00382842","-0.00382842","0"
"SEK","0.000335185","0.000335185","0","0.000335185","0.000335185","0"
"SGD","0.0000623","0.0000623","0","0.0000623","0.0000623","0"
"USD","15998722.603852449","15998722.606132548","-0.0022801","15998722.603852449","15998722.606132548","-0.0022801"
"EOS","CRTT","13","88565166.9700683"
"BOS","TRNT","Trades; trade date basis"
Symbol,Strike,Expiry,Put/Call,TradeDate,Quantity,TradePrice,IBCommission,FifoPnlRealized,CapitalGainsPnl,FxPnl,Buy/Sell,AssetClass
AAPL,,,,2023-11-14,-2136,185.050458801,-4.19860216,24260.842092,24260.842092,0.0,SELL,STK
BRK B,,,,2023-11-14,-1095,350.1,-3.38776065,1515.671378,1515.671378,0.0,SELL,STK
CEG,,,,2023-11-14,-1000,120.55,-1.21087,11363.487537,11363.487537,0.0,SELL,STK
CEG,,,,2023-11-14,-1000,120.61,-1.21135,10506.247536,10506.247536,0.0,SELL,STK
CEG,,,,2023-11-14,-500,120.7,-0.606035,8160.30607,8160.30607,0.0,SELL,STK
CEG,,,,2023-11-14,-10,121.02,-0.34238885,177.765232,177.765232,0.0,SELL,STK
CEG,,,,2023-11-14,-794,121.5,-0.96746518,6014.963397,6014.963397,0.0,SELL,STK
GE,,,,2023-11-14,-186,115.85,-1.16682822,-220.946067,-220.946067,0.0,SELL,STK
GE,,,,2023-11-14,-500,115.75868,-0.92286972,728.035906,728.035906,0.0,SELL,STK
GE,,,,2023-11-14,-100,115.5501,-0.77719733,391.9959,391.9959,0.0,SELL,STK
GE,,,,2023-11-14,-100,115.55,-0.27229725,399.158644,399.158644,0.0,SELL,STK
GE,,,,2023-11-14,-100,115.55,-0.52219725,318.62884,318.62884,0.0,SELL,STK
GE,,,,2023-11-14,-100,115.66,-0.77728525,345.084781,345.084781,0.0,SELL,STK
GE,,,,2023-11-14,-1000,115.66,-6.27175,5541.843109,5541.843109,0.0,SELL,STK
GE,,,,2023-11-14,-1000,115.52,-1.17063,3072.463135,3072.463135,0.0,SELL,STK
GE,,,,2023-11-14,-814,115.78,-0.95458594,448.169314,448.169314,0.0,SELL,STK
GE,,,,2023-11-14,49,116.31,-0.25715725,-26.30979,-26.30979,0.0,BUY,STK
GE,,,,2023-11-14,555,116.42,-0.05631585,-355.987106,-355.987106,0.0,BUY,STK
INTC,,,,2023-11-14,-2,38.4,-0.35756165,5.490372,5.490372,0.0,SELL,STK
INTC,,,,2023-11-14,-50,38.39,-0.53286325,145.837969,145.837969,0.0,SELL,STK
INTC,,,,2023-11-14,-1000,38.33,-1.00191,2910.427395,2910.427395,0.0,SELL,STK
INTC,,,,2023-11-14,-1000,38.33,-1.06311,2877.52326,2877.52326,0.0,SELL,STK
INTC,,,,2023-11-14,-20,38.34,-0.32129165,58.108229,58.108229,0.0,SELL,STK
INTC,,,,2023-11-14,-980,38.320510204,-0.9091734,2885.996506,2885.996506,0.0,SELL,STK
INTC,,,,2023-11-14,-1000,38.32,-1.06303,2959.926921,2959.926921,0.0,SELL,STK
INTC,,,,2023-11-14,-7,38.34,-0.34011929,20.546081,20.546081,0.0,SELL,STK
INTC,,,,2023-11-14,-993,38.32,-0.60015879,2033.160827,2033.160827,0.0,SELL,STK
INTC,,,,2023-11-14,-1000,38.32,-1.11403,1883.330859,1883.330859,0.0,SELL,STK
INTC,,,,2023-11-14,-1000,38.32,-0.80803,1766.554708,1766.554708,0.0,SELL,STK
INTC,,,,2023-11-14,-877,38.32,-0.48500731,1545.146659,1545.146659,0.0,SELL,STK
IWM,,,,2023-11-14,-3954,169.41,-14.1753195,-10707.626174,-10707.626174,0.0,SELL,STK
KO,,,,2023-11-14,-21,57.0,-0.32297825,-8.38085,-8.38085,0.0,SELL,STK
KO,,,,2023-11-14,-4,56.99,-0.34506093,-1.942493,-1.942493,0.0,SELL,STK
KO,,,,2023-11-14,-72,56.97,-0.25671197,-29.975902,-29.975902,0.0,SELL,STK
KO,,,,2023-11-14,-710,56.951408451,-1.0084777,-327.14249,-327.14249,0.0,SELL,STK
KO,,,,2023-11-14,-2636,56.933042489,-5.20609892,-1118.065839,-1118.065839,0.0,SELL,STK
KO,,,,2023-11-14,-85,56.9,-0.67327425,-42.550497,-42.550497,0.0,SELL,STK
KO,,,,2023-11-14,-2438,56.82,-1.71421114,-1443.805212,-1443.805212,0.0,SELL,STK
KO,,,,2023-11-14,-1500,56.86,-1.052025,-783.049519,-783.049519,0.0,SELL,STK
KO,,,,2023-11-14,-100,56.84,-0.22022925,-57.486023,-57.486023,0.0,SELL,STK
KO,,,,2023-11-14,-500,56.86,-0.350675,-251.271151,-251.271151,0.0,SELL,STK
KO,,,,2023-11-14,-500,56.86,-0.350675,-227.924833,-227.924833,0.0,SELL,STK
LLY,,,,2023-11-14,-639,612.96,-3.29094585,31091.414805,31091.414805,0.0,SELL,STK
QQQ,,,,2023-11-14,-100,378.36,-0.98744525,186.703201,186.703201,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.3,-8.37287,1627.85252,1627.85252,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.3,-3.27287,1905.590919,1905.590919,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.32,-3.27303,1376.187805,1376.187805,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.33,-3.27311,1332.919205,1332.919205,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.33,-3.27311,786.195859,786.195859,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.34,-3.27319,-11.116228,-11.116228,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.36,-8.37335,-428.2604,-428.2604,0.0,SELL,STK
QQQ,,,,2023-11-14,-1000,378.38,-8.37351,422.696942,422.696942,0.0,SELL,STK
QQQ,,,,2023-11-14,-1500,378.39,-12.560385,1132.278131,1132.278131,0.0,SELL,STK
QQQ,,,,2023-11-14,-1500,378.39,-12.560385,443.220359,443.220359,0.0,SELL,STK
QQQ,,,,2023-11-14,-1500,378.39,-12.560385,-77.650097,-77.650097,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.409,-16.747484,5431.292263,5431.292263,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.4,-16.74734,7822.912457,7822.912457,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.41,-16.7475,8526.966073,8526.966073,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.42,-16.74766,8055.869002,8055.869002,0.0,SELL,STK
QQQ,,,,2023-11-14,-2000,378.42,-16.74766,8343.543894,8343.543894,0.0,SELL,STK
