"BOF","U8251256","Portfolio Dashboard","6","2024-05-24","2024-05-24","2025-10-06;06:56:07","100","100"
"MSG","Realized P/L is not ready and has been disabled for this statement."
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"54702574.68166065","0","0","0","56086654.78868535"
"EOS","CNAV","1","56086654.78868535"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
2253.8736,2253.8736,0.0,34100.0,,,1.0,000921,STK,COMMON,,39.69
0.0,0.0,0.0,2325000.0,,,1.0,1288,STK,COMMON,,3.81
-5365.76,-5365.76,0.0,104800.0,,,1.0,2020,STK,COMMON,,86.9
-6001.92,-6001.92,0.0,468900.0,,,1.0,2823,STK,ETF,,12.8
-57571.84,-57571.84,0.0,523000.0,,,1.0,2828,STK,ETF,,66.9
0.0,0.0,0.0,1360000.0,,,1.0,2899,STK,COMMON,,17.48
-1850.2749,-1850.2749,0.0,900.0,,,1.0,600519,STK,COMMON,,1677.08
31.1202,31.1202,0.0,22600.0,,,1.0,600690,STK,COMMON,,30.06
-9400.32,-9400.32,0.0,15300.0,,,1.0,700,STK,COMMON,,377.0
0.0,0.0,0.0,2860000.0,,,1.0,857,STK,COMMON,,7.67
144291.84,144291.84,0.0,2562000.0,,,1.0,883,STK,COMMON,,19.62
921.6,921.6,0.0,24000.0,,,1.0,921,STK,COMMON,,35.4
-2296.32,-2296.32,0.0,15600.0,,,1.0,9888,STK,COMMON,,97.9
-1408.0,-1408.0,0.0,22000.0,,,1.0,9988,STK,COMMON,,78.15
90826.92,90826.92,0.0,267138.0,,,1.0,COWZ,STK,ETF,,55.05
18024.5,18024.5,0.0,38350.0,,,1.0,CWB,STK,ETF,,72.22
-547.325694,915.36,-1363.16,43084.0,,,1.0,DBA,STK,ETF,,24.67
52985.749115,53244.0,-245.98,44650.0,,,1.0,DXJ,STK,ETF,,109.58
39869.338271,40251.12,-367.5,154454.0,,,1.0,EPI,STK,ETF,,46.76
29600.0,29600.0,0.0,80000.0,,,1.0,EWI,STK,ETF,,38.64
38539.04326122,37034.14,1686.51,126253.0,,,1.0,EWY,STK,ETF,,64.1
2306.0,2306.0,0.0,115300.0,,,1.0,FPE,STK,ETF,,17.23
8896.2,8896.2,0.0,44481.0,,,1.0,GLD,STK,ETF,,215.92
864.0,864.0,0.0,43200.0,,,1.0,IAUM,STK,ETF,,23.28
1050.65,1050.65,0.0,21013.0,,,1.0,ISTB,STK,ETF,,47.19
131004.0,131004.0,0.0,58224.0,,,1.0,IWM,STK,ETF,,205.44
7750.25,7750.25,0.0,26725.0,,,1.0,LQD,STK,ETF,,106.98
249378.0,249378.0,0.0,9340.0,,,1.0,NVDA,STK,COMMON,,1064.69
317050.83303984,312788.19,4527.58,54683.0,,,1.0,QQQ,STK,ETF,,457.95
161993.4,161993.4,0.0,36485.0,,,1.0,SMH,STK,ETF,,244.26
12216.0,12216.0,0.0,15270.0,,,1.0,URNM,STK,ETF,,56.29
9257.62666046,10182.12,-891.145,58743.0,,,1.0,USHY,STK,ETF,,36.28
5809.92,5809.92,0.0,36312.0,,,1.0,VCIT,STK,ETF,,79.56
18527.00168922,12740.0,5870.1,73500.0,,,1.0,XLE,STK,ETF,,91.37
65604.77623641,71187.75,-5279.83,213563.0,,,1.0,XLF,STK,ETF,,41.61
142664.83753207,145418.4,-2606.95,60591.0,,,1.0,XLK,STK,ETF,,215.19
-18368.59709956,-23032.45,4754.45,35254.0,,,1.0,XLV,STK,ETF,,144.42
-69124.44,-69124.44,0.0,-28.0,2024-05-24,1010.0,100.0,NVDA 24MAY24 1010 C,OPT,C,NVDA,54.69
15120.0,15120.0,0.0,-18.0,2024-05-24,1035.0,100.0,NVDA 24MAY24 1035 P,OPT,P,NVDA,0.0
6887.55,6887.55,0.0,-5.0,2024-05-24,1045.0,100.0,NVDA 24MAY24 1045 P,OPT,P,NVDA,0.0
8563.45,8563.45,0.0,-5.0,2024-05-24,1050.0,100.0,NVDA 24MAY24 1050 P,OPT,P,NVDA,0.0
2e-08,2e-08,0.0,4.515e-06,,,0.0,CAD,CASH,,,0.73181
1e-08,1e-08,0.0,-2.9287e-05,,,0.0,CHF,CASH,,,1.0932
-115.20794496,-115.20794496,0.0,-2098900.6880139,,,0.0,CNH,CASH,,,0.1377
-1218.3578483,-1218.3578483,0.0,-139935003.03402933,,,0.0,HKD,CASH,,,0.128
0.0,0.0,0.0,0.0015565,,,0.0,JPY,CASH,,,0.0063694
-3.5e-07,-3.5e-07,0.0,-0.00382842,,,0.0,MXN,CASH,,,0.059901
2e-07,2e-07,0.0,0.000335185,,,0.0,SEK,CASH,,,0.093716
6e-08,6e-08,0.0,6.23e-05,,,0.0,SGD,CASH,,,0.74077
0.0,0.0,0.0,-100286918.5807398,,,0.0,USD,CASH,,,1.0
1409020.11611834,0.0,0.0,,,,,,,,,
"EOS","MTMP","51","2818040.23223668"
"BOS","CRTT","Cash Report; trade date basis"
"CurrencyPrimary","EndingCash","EndingCashSecurities","EndingCashCommodities","NetCashBalanceSLB","NetCashBalanceSLBSecurities","NetCashBalanceSLBCommodities"
"BASE_SUMMARY","-118487617.59400563","-118487617.59172553","-0.0022801","-118487617.59400563","-118487617.59172553","-0.0022801"
"CAD","0.000004515","0.000004515","0","0.000004515","0.000004515","0"
"CHF","-0.000029287","-0.000029287","0","-0.000029287","-0.000029287","0"
"CNH","-2098900.6880139","-2098900.6880139","0","-2098900.6880139","-2098900.6880139","0"
"HKD","-139935003.03402933","-139935003.03402933","0","-139935003.03402933","-139935003.03402933","0"
"JPY","0.0015565","0.0015565","0","0.0015565","0.0015565","0"
"MXN","-0.00382842","-0.00382842","0","-0.00382842","-0.00382842","0"
"SEK","0.000335185","0.000335185","0","0.000335185","0.000335185","0"
"SGD","0.0000623","0.0000623","0","0.0000623","0.0000623","0"
"USD","-100286918.5807398","-100286918.5784597","-0.0022801","-100286918.5807398","-100286918.5784597","-0.0022801"
"EOS","CRTT","10","-360808439.89868784"
"BOS","TRNT","Trades; trade date basis"
Symbol,Strike,Expiry,Put/Call,TradeDate,Quantity,TradePrice,IBCommission,FifoPnlRealized,CapitalGainsPnl,FxPnl,Buy/Sell,AssetClass
DBA,,,,2024-05-24,10000,24.737987,-48.0547,0,0.0,0.0,BUY,STK
DBA,,,,2024-05-24,5000,24.7417,-24.68735,0,0.0,0.0,BUY,STK
DBA,,,,2024-05-24,5200,24.732459615,-26.783644,0,0.0,0.0,BUY,STK
DXJ,,,,2024-05-24,1000,109.677,-3.44147,0,0.0,0.0,BUY,STK
DXJ,,,,2024-05-24,1000,109.720495,-1.68587,0,0.0,0.0,BUY,STK
DXJ,,,,2024-05-24,2000,109.68643,-2.23654,0,0.0,0.0,BUY,STK
DXJ,,,,2024-05-24,1500,109.44375,-4.907005,0,0.0,0.0,BUY,STK
EPI,,,,2024-05-24,5000,46.805,-4.44735,0,0.0,0.0,BUY,STK
EPI,,,,2024-05-24,5500,46.785,-9.394085,0,0.0,0.0,BUY,STK
EPI,,,,2024-05-24,200,46.785,-0.440294,0,0.0,0.0,BUY,STK
EWY,,,,2024-05-24,-5000,64.000199,-24.880977661,0,0.0,0.0,SELL,STK
EWY,,,,2024-05-24,-10000,64.1449395,-36.372993181,0,0.0,0.0,SELL,STK
EWY,,,,2024-05-24,-10000,64.16431,-49.43317818,0,0.0,0.0,SELL,STK
EWY,,,,2024-05-24,-10000,64.17034,-41.51405452,0,0.0,0.0,SELL,STK
EWY,,,,2024-05-24,-7084,64.155,-29.405535236,0,0.0,0.0,SELL,STK
QQQ,,,,2024-05-24,-1000,456.090325,-14.834781035,0,0.0,0.0,SELL,STK
QQQ,,,,2024-05-24,-1000,456.49,-12.957892,0,0.0,0.0,SELL,STK
QQQ,,,,2024-05-24,-1000,456.97,-12.971236,0,0.0,0.0,SELL,STK
QQQ,,,,2024-05-24,-5000,458.510351,-75.014288789,0,0.0,0.0,SELL,STK
QQQ,,,,2024-05-24,-5000,458.50447,-74.73747133,0,0.0,0.0,SELL,STK
QQQ,,,,2024-05-24,-5228,458.572255164,-74.42129101,0,0.0,0.0,SELL,STK
USHY,,,,2024-05-24,-5000,36.23,-8.87332,0,0.0,0.0,SELL,STK
USHY,,,,2024-05-24,-4000,36.245,-9.580324,0,0.0,0.0,SELL,STK
USHY,,,,2024-05-24,-5000,36.23,-3.87332,0,0.0,0.0,SELL,STK
USHY,,,,2024-05-24,-5581,36.235,-11.021375543,0,0.0,0.0,SELL,STK
XLE,,,,2024-05-24,-5000,91.98,-16.62257,0,0.0,0.0,SELL,STK
XLE,,,,2024-05-24,-5000,91.405,-17.542645,0,0.0,0.0,SELL,STK
XLE,,,,2024-05-24,-5000,91.54,-16.56141,0,0.0,0.0,SELL,STK
XLE,,,,2024-05-24,-4500,91.513355556,-15.80193578,0,0.0,0.0,SELL,STK
XLE,,,,2024-05-24,-5000,91.6,-16.56975,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-1000,41.49,-0.920892,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-5000,41.605,-31.792445,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-1188,41.575,-2.52242694,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-10000,41.545,-65.22421,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-10000,41.535,-45.22143,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-20000,41.515,-81.72374,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-10000,41.505,-21.21309,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-4000,41.545,-16.026684,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-5000,41.555,-20.513495,0,0.0,0.0,SELL,STK
XLF,,,,2024-05-24,-5000,41.56835,-17.98535065,0,0.0,0.0,SELL,STK
XLK,,,,2024-05-24,-1000,214.49,-6.730292,0,0.0,0.0,SELL,STK
XLK,,,,2024-05-24,-5000,214.444442,-35.151127438,0,0.0,0.0,SELL,STK
XLK,,,,2024-05-24,-4000,215.31542,-32.050154704,0,0.0,0.0,SELL,STK
XLK,,,,2024-05-24,-5000,215.241157,-34.835070823,0,0.0,0.0,SELL,STK
XLK,,,,2024-05-24,-5197,215.394613238,-37.845822969,0,0.0,0.0,SELL,STK
XLV,,,,2024-05-24,-3000,144.785333333,-16.7375068,0,0.0,0.0,SELL,STK
XLV,,,,2024-05-24,-3000,144.8364,-22.51296576,0,0.0,0.0,SELL,STK
XLV,,,,2024-05-24,-3000,144.85,-14.3829,0,0.0,0.0,SELL,STK
XLV,,,,2024-05-24,-3000,144.880235,-21.290621599,0,0.0,0.0,SELL,STK
XLV,,,,2024-05-24,-2751,144.815690658,-13.868695397,0,0.0,0.0,SELL,STK
XLV,,,,2024-05-24,3000,144.87,-1.80441,0,0.0,0.0,BUY,STK
"EOS","TRNT","62","0"
"BOS","RATE","Conversion Rates"
"Date/Time","FromCurrency","ToCurrency","Rate"
"2024-05-24","CHF","USD","1.0932"
"2024-05-24","MXN","USD","0.059901"
"2024-05-24","QAR","USD","-1"
"2024-05-24","SAR","USD","0.26662"
"2024-05-24","ZAR","USD","0.05422"
"2024-05-24","INR","USD","0.012038"
"2024-05-24","THB","USD","0.027307"
"2024-05-24","CNY","USD","0.13806"
"2024-05-24","AUD","USD","0.66284"
"2024-05-24","KRW","USD","0.00073136"
"2024-05-24","ILS","USD","0.27338"
"2024-05-24","JPY","USD","0.0063694"
"2024-05-24","PLN","USD","0.25506"
"2024-05-24","GBP","USD","1.2737"
"2024-05-24","IDR","USD","-1"
"2024-05-24","HUF","USD","0.0028243"
"2024-05-24","KWD","USD","-1"
"2024-05-24","PHP","USD","-1"
"2024-05-24","TRY","USD","0.031029"
"2024-05-24","RUB","USD","0.011161"
"2024-05-24","AED","USD","0.27225"
"2024-05-24","HKD","USD","0.128"
"2024-05-24","TWD","USD","0.03101"
"2024-05-24","EUR","USD","1.0847"
"2024-05-24","DKK","USD","0.14536"
"2024-05-24","CAD","USD","0.73181"
"2024-05-24","MYR","USD","0.21225"
"2024-05-24","BGN","USD","0.55291"
"2024-05-24","NOK","USD","0.094514"
"2024-05-24","RON","USD","0.21801"
"2024-05-24","RUS","USD","-1"
"2024-05-24","SGD","USD","0.74077"
"2024-05-24","OMR","USD","-1"
"2024-05-24","CZK","USD","0.044004"
"2024-05-24","SEK","USD","0.093716"
"2024-05-24","NZD","USD","0.6121"
"2024-05-24","CNH","USD","0.1377"
"2024-05-24","BRL","USD","0.19351"
"2024-05-24","BHD","USD","-1"
"EOS","RATE","39","0"
"EOA","U8251256"
"EOF"
