"BOF","U8251256","Portfolio Dashboard","6","2024-09-18","2024-09-18","2025-10-06;09:13:09","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"59580701.8943727","0","0","-270000","58296770.35189648"
"EOS","CNAV","1","58296770.35189648"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
0.0,0.0,0.0,220000.0,,,1.0,1109,STK,COMMON,1109,19.3
0.0,0.0,0.0,8000.0,,,1.0,1211,STK,COMMON,1211,242.8
0.0,0.0,0.0,2625000.0,,,1.0,1288,STK,COMMON,1288,3.58
0.0,0.0,0.0,130000.0,,,1.0,2318,STK,COMMON,2318,35.75
0.0,0.0,0.0,300000.0,,,1.0,2828,STK,ETF,2828,63.92
0.0,0.0,0.0,400000.0,,,1.0,3067,STK,ETF,3067,7.445
1511.106,1511.106,0.0,10000.0,,,1.0,6178.T,STK,COMMON,6178,1374.0
5060.448,5060.448,0.0,15000.0,,,1.0,6501.T,STK,COMMON,6501,3458.0
0.0,0.0,0.0,240000.0,,,1.0,688,STK,COMMON,688,10.94
0.0,0.0,0.0,30000.0,,,1.0,700,STK,COMMON,700,380.0
0.0,0.0,0.0,500000.0,,,1.0,883,STK,COMMON,883,18.78
0.0,0.0,0.0,150000.0,,,1.0,941,STK,COMMON,941,71.9
0.0,0.0,0.0,5500.0,,,1.0,9961,STK,COMMON,9961,368.0
0.0,0.0,0.0,30000.0,,,1.0,9988,STK,COMMON,9988,82.85
-6949.17,-6949.17,0.0,150000.0,,,1.0,9CI,STK,COMMON,9CI,2.92
5850.0,5850.0,0.0,1500.0,,,1.0,AAPL,STK,COMMON,AAPL,220.69
-11673.9,-11673.9,0.0,35000.0,,,1.0,BNP,STK,COMMON,BNP,64.15
-160.0,-160.0,0.0,2000.0,,,1.0,BRK B,STK,COMMON,BRK B,456.6
-4000.0,-4000.0,0.0,2500.0,,,1.0,CB,STK,COMMON,CB,289.18
