"BOF","U8251256","Portfolio Dashboard","6","2024-10-04","2024-10-04","2025-10-06;09:32:57","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"65768492.21180928","0","0","-11930.71","68053355.27433667"
"EOS","CNAV","1","68053355.27433667"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
4635.0,4635.0,0.0,180000.0,,,1.0,1109,STK,COMMON,1109,29.95
6798.0,6798.0,0.0,8000.0,,,1.0,1211,STK,COMMON,1211,305.6
23657.8125,23657.8125,0.0,2625000.0,,,1.0,1288,STK,COMMON,1288,3.83
32445.0,32445.0,0.0,105000.0,,,1.0,2318,STK,COMMON,2318,57.3
92700.0,92700.0,0.0,300000.0,,,1.0,2828,STK,ETF,2828,83.1
31415.0,31415.0,0.0,400000.0,,,1.0,3067,STK,ETF,3067,11.06
1143.148,1143.148,0.0,10000.0,,,1.0,6178.T,STK,COMMON,6178,1379.5
-2017.32,-2017.32,0.0,15000.0,,,1.0,6501.T,STK,COMMON,6501,3761.0
9888.0,618.0,0.0,240000.0,,,1.0,688,STK,COMMON,688,17.56
35226.0,35226.0,0.0,24000.0,,,1.0,700,STK,COMMON,700,477.6
41843.75,41843.75,0.0,500000.0,,,1.0,883,STK,COMMON,883,21.55
5793.75,5793.75,0.0,150000.0,,,1.0,941,STK,COMMON,941,75.5
18282.5,18282.5,0.0,4000.0,,,1.0,9961,STK,COMMON,9961,543.0
7531.875,7531.875,0.0,15000.0,,,1.0,9988,STK,COMMON,9988,113.9
6898.59,6898.59,0.0,300000.0,,,1.0,9CI,STK,COMMON,9CI,3.12
1695.0,1695.0,0.0,1500.0,,,1.0,AAPL,STK,COMMON,AAPL,226.8
18020.0,18020.0,0.0,2000.0,,,1.0,BRK B,STK,COMMON,BRK B,461.97
5125.0,5125.0,0.0,2500.0,,,1.0,CB,STK,COMMON,CB,290.59
89547.47344354,90000.0,-173.14,150000.0,,,1.0,COWZ,STK,ETF,COWZ,58.37
4680.0,4680.0,0.0,13000.0,,,1.0,CTAS,STK,COMMON,CTAS,204.91
19167.95,17257.5,0.0,38350.0,,,1.0,CWB,STK,ETF,CWB,76.66
4905.664,4905.664,0.0,32000.0,,,1.0,D05,STK,COMMON,D05,38.04
-7409.19142012,-7200.0,-188.62,50000.0,,,1.0,DBA,STK,ETF,DBA,25.39
15500.0,15500.0,0.0,5000.0,,,1.0,DXJ,STK,ETF,DXJ,110.68
-35280.0,-35280.0,0.0,168000.0,,,1.0,EPI,STK,ETF,EPI,49.38
-14000.0,-14000.0,0.0,350000.0,,,1.0,FPE,STK,ETF,FPE,18.13
-29635.69,-29635.69,0.0,60481.0,,,1.0,GLD,STK,ETF,GLD,245.0
-7420.0,-7420.0,0.0,14000.0,,,1.0,HES,STK,COMMON,HES,140.34
-4400.0,-4400.0,0.0,55000.0,,,1.0,IAUM,STK,ETF,IAUM,26.44
24000.0,24000.0,0.0,30000.0,,,1.0,IBIT,STK,ETF,IBIT,35.52
15118.46573962,15000.0,180.18,40000.0,,,1.0,IJH,STK,ETF,IJH,62.28
-1671.64,-3992.47,0.0,21013.0,,,1.0,ISTB,STK,ETF,ISTB,48.25
108720.0,108720.0,0.0,36000.0,,,1.0,IWM,STK,ETF,IWM,219.15
805.0,805.0,0.0,500.0,,,1.0,LLY,STK,COMMON,LLY,887.16
-8608.92,-16302.25,0.0,26725.0,,,1.0,LQD,STK,ETF,LQD,111.52
1705.0,1705.0,0.0,5500.0,,,1.0,MCD,STK,COMMON,MCD,303.76
-288.0,-288.0,0.0,600.0,,,1.0,MSFT,STK,COMMON,MSFT,416.06
456021.0,456021.0,0.0,220300.0,,,1.0,NVDA,STK,COMMON,NVDA,124.92
4950.0,4950.0,0.0,3000.0,,,1.0,PDD,STK,ADR,PDD,154.27
343800.0,343800.0,0.0,60000.0,,,1.0,QQQ,STK,ETF,QQQ,487.32
11120.0,11120.0,0.0,8000.0,,,1.0,RSP,STK,ETF,RSP,178.57
4250.0,4250.0,0.0,5000.0,,,1.0,SE,STK,ADR,SE,95.99
451.2,-240.0,0.0,12000.0,,,1.0,SHYD,STK,ETF,SHYD,22.76
-3276.97,-4500.0,0.0,12500.0,,,1.0,STIP,STK,ETF,STIP,100.88
-43603.72,-53550.0,0.0,45000.0,,,1.0,TLT,STK,ETF,TLT,95.55
162960.0,162960.0,0.0,97000.0,,,1.0,TSM,STK,ADR,TSM,181.16
3500.0,3500.0,0.0,5000.0,,,1.0,TUR,STK,ETF,TUR,34.4
4040.41,-5200.0,0.0,65000.0,,,1.0,USHY,STK,ETF,USHY,37.3
-18156.0,-18156.0,0.0,36312.0,,,1.0,VCIT,STK,ETF,VCIT,82.8
-9720.0,-9720.0,0.0,6000.0,,,1.0,XHB,STK,ETF,XHB,121.34
58050.0,58050.0,0.0,67500.0,,,1.0,XLE,STK,ETF,XLE,93.18
162307.88,162307.88,0.0,213563.0,,,1.0,XLF,STK,ETF,XLF,45.65
49600.0,49600.0,0.0,20000.0,,,1.0,XLK,STK,ETF,XLK,225.29
2400.0,2400.0,0.0,20000.0,,,1.0,XLV,STK,ETF,XLV,151.64
8200.0,8200.0,0.0,10000.0,,,1.0,XME,STK,ETF,XME,63.73
-3066.04,-3066.04,0.0,200000.0,,,1.0,Z74,STK,COMMON,Z74,3.19
193.125,193.125,0.0,-20.0,2024-10-30,25.0,500.0,1109 30OCT24 25 P,OPT,P,1109,0.52
347.625,347.625,0.0,-20.0,2024-10-30,30.0,500.0,1109 30OCT24 30 P,OPT,P,1109,2.37
772.5,772.5,0.0,-10.0,2024-10-30,275.0,500.0,1211 30OCT24 275 P,OPT,P,1211,4.89
1113.6875,1113.6875,0.0,-10.0,2024-10-30,285.0,500.0,1211 30OCT24 285 P,OPT,P,1211,7.64
270.375,270.375,0.0,-15.0,2024-10-30,48.0,500.0,2318 30OCT24 48 P,OPT,P,2318,0.55
276.8125,276.8125,0.0,-10.0,2024-10-30,50.0,500.0,2318 30OCT24 50 P,OPT,P,2318,0.92
209.21875,209.21875,0.0,-5.0,2024-10-30,52.5,500.0,2318 30OCT24 52.5 P,OPT,P,2318,1.61
566.5,566.5,0.0,-20.0,2024-10-30,72.5,1000.0,2828 30OCT24 72.5 P,OPT,P,2828,0.5
1390.5,1390.5,0.0,-30.0,2024-10-30,75.0,1000.0,2828 30OCT24 75 P,OPT,P,2828,0.9
708.125,708.125,0.0,-10.0,2024-10-30,77.5,1000.0,2828 30OCT24 77.5 P,OPT,P,2828,1.48
1055.75,1055.75,0.0,-10.0,2024-10-30,80.0,1000.0,2828 30OCT24 80 P,OPT,P,2828,2.31
556.2,556.2,0.0,-30.0,2024-10-30,410.0,100.0,700 30OCT24 410 P,OPT,P,700,1.84
927.0,927.0,0.0,-30.0,2024-10-30,430.0,100.0,700 30OCT24 430 P,OPT,P,700,5.31
1078.925,1078.925,0.0,-20.0,2024-10-30,460.0,100.0,700 30OCT24 460 P,OPT,P,700,15.41
