"BOF","U8251256","Portfolio Dashboard","6","2024-10-29","2024-10-29","2025-10-06;10:01:00","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"72614532.02184686","0","0","0","73588655.8925731"
"EOS","CNAV","1","73588655.8925731"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
-9651.0,-9651.0,0,187500.0,,,1.0,1109,STK,COMMON,1109,25.3
2470.656,2470.656,0,8000.0,,,1.0,1211,STK,COMMON,1211,297.0
3377.85,3377.85,0,2625000.0,,,1.0,1288,STK,COMMON,1288,3.96
675.57,675.57,0,15000.0,,,1.0,1810,STK,COMMON,1810,25.85
2026.71,2026.71,0,105000.0,,,1.0,2318,STK,COMMON,2318,49.0
321.7,321.7,0,5000.0,,,1.0,2359,STK,COMMON,2359,53.25
12353.28,12353.28,0,300000.0,,,1.0,2828,STK,ETF,2828,75.68
4182.1,4182.1,0,500000.0,,,1.0,3067,STK,ETF,3067,9.715
1760.508,1760.508,0,10000.0,,,1.0,6178.T,STK,COMMON,6178,1402.0
2836.374,2836.374,0,15000.0,,,1.0,6501.T,STK,COMMON,6501,4053.0
-14823.936,-14823.936,0,240000.0,,,1.0,688,STK,COMMON,688,14.72
4169.232,4169.232,0,27000.0,,,1.0,700,STK,COMMON,700,418.4
-18015.2,-18015.2,0,500000.0,,,1.0,883,STK,COMMON,883,18.42
-5790.6,-5790.6,0,150000.0,,,1.0,941,STK,COMMON,941,71.35
-772.08,-772.08,0,50000.0,,,1.0,992,STK,COMMON,992,10.74
7617.856,7617.856,0,4000.0,,,1.0,9961,STK,COMMON,9961,503.0
1737.18,1737.18,0,15000.0,,,1.0,9988,STK,COMMON,9988,97.55
2155.39,2155.39,0,5000.0,,,1.0,9992,STK,COMMON,9992,72.6
-3776.0,-3776.0,0,500000.0,,,1.0,9CI,STK,COMMON,9CI,2.84
405.0,405.0,0,1500.0,,,1.0,AAPL,STK,COMMON,AAPL,233.67
1100.0,1100.0,0,2000.0,,,1.0,ANF,STK,COMMON,ANF,138.47
-305.0,-305.0,0,100.0,,,1.0,BLK,STK,COMMON,BLK,983.17
-7740.0,-7740.0,0,2000.0,,,1.0,BRK B,STK,COMMON,BRK B,454.62
-112.0,-112.0,0,700.0,,,1.0,BX,STK,COMMON,BX,169.81
-47500.0,-47500.0,0,125000.0,,,1.0,COWZ,STK,ETF,COWZ,57.27
7150.0,7150.0,0,13000.0,,,1.0,CTAS,STK,COMMON,CTAS,209.14
-5752.5,-5752.5,0,38350.0,,,1.0,CWB,STK,ETF,CWB,77.52
7929.6,7929.6,0,50000.0,,,1.0,D05,STK,COMMON,D05,39.29
14500.0,14500.0,0,50000.0,,,1.0,DBA,STK,ETF,DBA,25.33
4900.0,4900.0,0,5000.0,,,1.0,DXJ,STK,ETF,DXJ,108.8
31920.0,31920.0,0,168000.0,,,1.0,EPI,STK,ETF,EPI,47.47
-17500.0,-17500.0,0,350000.0,,,1.0,FPE,STK,ETF,FPE,17.93
168307.56,168307.56,0,60981.0,,,1.0,GLD,STK,ETF,GLD,256.09
-34580.0,-34580.0,0,14000.0,,,1.0,HES,STK,COMMON,HES,134.59
17050.0,17050.0,0,55000.0,,,1.0,IAUM,STK,ETF,IAUM,27.66
49800.0,49800.0,0,30000.0,,,1.0,IBIT,STK,ETF,IBIT,41.33
3850.0,3850.0,0,55000.0,,,1.0,IJH,STK,ETF,IJH,62.81
840.52,840.52,0,21013.0,,,1.0,ISTB,STK,ETF,ISTB,48.1
-25920.0,-25920.0,0,36000.0,,,1.0,IWM,STK,ETF,IWM,221.74
3196.0,3196.0,0,400.0,,,1.0,LLY,STK,COMMON,LLY,903.58
3474.25,3474.25,0,26725.0,,,1.0,LQD,STK,ETF,LQD,109.35
-10740.0,-10740.0,0,6000.0,,,1.0,MCD,STK,COMMON,MCD,295.0
3216.0,3216.0,0,600.0,,,1.0,MSFT,STK,COMMON,MSFT,431.95
151694.0,151694.0,0,207800.0,,,1.0,NVDA,STK,COMMON,NVDA,141.25
-4050.0,-4050.0,0,7500.0,,,1.0,PDD,STK,ADR,PDD,125.25
285600.0,285600.0,0,60000.0,,,1.0,QQQ,STK,ETF,QQQ,500.16
-5940.0,-5940.0,0,11000.0,,,1.0,RSP,STK,ETF,RSP,178.58
-21255.0,-21255.0,0,6500.0,,,1.0,SE,STK,ADR,SE,95.99
-120.0,-120.0,0,12000.0,,,1.0,SHYD,STK,ETF,SHYD,22.65
940.0,940.0,0,1000.0,,,1.0,SPY,STK,ETF,SPY,581.77
1250.0,1250.0,0,12500.0,,,1.0,STIP,STK,ETF,STIP,100.72
6650.0,6650.0,0,47500.0,,,1.0,TLT,STK,ETF,TLT,92.03
205660.0,205660.0,0,91000.0,,,1.0,TSM,STK,ADR,TSM,196.94
-1100.0,-1100.0,0,5000.0,,,1.0,TUR,STK,ETF,TUR,33.69
-1300.0,-1300.0,0,65000.0,,,1.0,USHY,STK,ETF,USHY,37.25
3268.08,3268.08,0,36312.0,,,1.0,VCIT,STK,ETF,VCIT,81.7
-2340.0,-2340.0,0,2000.0,,,1.0,VKTX,STK,COMMON,VKTX,73.35
-12450.0,-12450.0,0,5000.0,,,1.0,XHB,STK,ETF,XHB,115.27
-91800.0,-91800.0,0,67500.0,,,1.0,XLE,STK,ETF,XLE,87.84
-60773.27,-60773.27,0,209563.0,,,1.0,XLF,STK,ETF,XLF,46.92
62000.0,62000.0,0,20000.0,,,1.0,XLK,STK,ETF,XLK,233.32
-12915.0,-12915.0,0,31500.0,,,1.0,XLV,STK,ETF,XLV,148.4
300.0,300.0,0,10000.0,,,1.0,XME,STK,ETF,XME,65.67
-3020.8,-3020.8,0,200000.0,,,1.0,Z74,STK,COMMON,Z74,3.18
12.868,12.868,0,-20.0,2024-10-30,25.0,500.0,1109 30OCT24 25 P,OPT,P,1109,0.16
-128.68,-128.68,0,-5.0,2024-10-30,30.0,500.0,1109 30OCT24 30 P,OPT,P,1109,4.7
6.434,6.434,0,-10.0,2024-10-30,265.0,500.0,1211 30OCT24 265 P,OPT,P,1211,0.01
115.812,115.812,0,-10.0,2024-10-30,275.0,500.0,1211 30OCT24 275 P,OPT,P,1211,0.01
701.306,701.306,0,-10.0,2024-10-30,285.0,500.0,1211 30OCT24 285 P,OPT,P,1211,0.16
2711.931,2711.931,0,-15.0,2024-10-30,300.0,500.0,1211 30OCT24 300 P,OPT,P,1211,4.85
907.194,907.194,0,-10.0,2024-11-28,300.0,500.0,1211 28NOV24 300 P,OPT,P,1211,17.0
64.34,64.34,0,-10.0,2024-10-30,4.0,10000.0,1288 30OCT24 4 C,OPT,C,1288,0.012
57.906,57.906,0,-15.0,2024-10-30,23.0,1000.0,1810 30OCT24 23 P,OPT,P,1810,0.01
173.718,173.718,0,-15.0,2024-10-30,24.0,1000.0,1810 30OCT24 24 P,OPT,P,1810,0.02
10.2944,10.2944,0,-10.0,2024-10-30,82.5,200.0,2020 30OCT24 82.5 P,OPT,P,2020,0.04
20.5888,20.5888,0,-10.0,2024-10-30,85.0,200.0,2020 30OCT24 85 P,OPT,P,2020,0.32
250.926,250.926,0,-15.0,2024-10-30,48.0,500.0,2318 30OCT24 48 P,OPT,P,2318,0.13
83.642,83.642,0,-10.0,2024-10-30,50.0,500.0,2318 30OCT24 50 C,OPT,C,2318,0.21
257.36,257.36,0,-20.0,2024-10-30,50.0,500.0,2318 30OCT24 50 P,OPT,P,2318,1.23
25.736,25.736,0,-5.0,2024-10-30,52.5,500.0,2318 30OCT24 52.5 P,OPT,P,2318,3.57
154.416,154.416,0,-30.0,2024-10-30,72.5,1000.0,2828 30OCT24 72.5 P,OPT,P,2828,0.01
2393.448,2393.448,0,-60.0,2024-10-30,75.0,1000.0,2828 30OCT24 75 P,OPT,P,2828,0.25
1273.932,1273.932,0,-30.0,2024-10-30,77.5,1000.0,2828 30OCT24 77.5 P,OPT,P,2828,1.92
733.476,733.476,0,-30.0,2024-10-30,80.0,1000.0,2828 30OCT24 80 P,OPT,P,2828,4.45
521.154,521.154,0,-30.0,2024-10-30,410.0,100.0,700 30OCT24 410 P,OPT,P,700,0.64
598.362,598.362,0,-30.0,2024-10-30,420.0,100.0,700 30OCT24 420 P,OPT,P,700,3.61
386.04,386.04,0,-30.0,2024-10-30,430.0,100.0,700 30OCT24 430 P,OPT,P,700,12.49
-258.6468,-258.6468,0,-30.0,2024-10-30,470.0,100.0,700 30OCT24 470 P,OPT,P,700,53.47
0.0,0.0,0,-15.0,2024-10-30,21.0,1000.0,883 30OCT24 21 C,OPT,C,883,0.01
64.34,64.34,0,-50.0,2024-10-30,75.0,500.0,941 30OCT24 75 C,OPT,C,941,0.02
1647.104,1647.104,0,-10.0,2024-10-30,160.0,500.0,9618 30OCT24 160 P,OPT,P,9618,1.01
2399.882,2399.882,0,-10.0,2024-10-30,165.0,500.0,9618 30OCT24 165 P,OPT,P,9618,3.66
15.4416,15.4416,0,-10.0,2024-10-30,450.0,150.0,9961 30OCT24 450 P,OPT,P,9961,0.01
1312.536,1312.536,0,-20.0,2024-10-30,480.0,150.0,9961 30OCT24 480 P,OPT,P,9961,0.28
308.832,308.832,0,-10.0,2024-10-30,95.0,500.0,9988 30OCT24 95 P,OPT,P,9988,0.12
90.076,90.076,0,-10.0,2024-10-30,100.0,500.0,9988 30OCT24 100 C,OPT,C,9988,0.14
540.456,540.456,0,-10.0,2024-10-30,100.0,500.0,9988 30OCT24 100 P,OPT,P,9988,2.66
437.512,437.512,0,-10.0,2024-10-30,105.0,500.0,9988 30OCT24 105 P,OPT,P,9988,7.67
0.0,0.0,0,-5.0,2024-11-01,245.0,100.0,AAPL 01NOV24 245 C,OPT,C,AAPL,0.655
73.0,73.0,0,-2.0,2024-11-01,170.0,100.0,BX 01NOV24 170 C,OPT,C,BX,1.8
1380.0,1380.0,0,-15.0,2024-11-01,252.5,100.0,GLD 01NOV24 252.5 P,OPT,P,GLD,0.39
260.5,260.5,0,-10.0,2024-11-08,141.0,100.0,HES 08NOV24 141 C,OPT,C,HES,0.8645
420.5,420.5,0,-10.0,2024-11-08,142.0,100.0,HES 08NOV24 142 C,OPT,C,HES,0.6468
