"BOF","U8251256","Portfolio Dashboard","6","2024-12-19","2024-12-19","2025-10-06;11:01:51","100","100"
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"70342224.07248385","0","0","7.92","69661755.75023682"
"EOS","CNAV","1","69661755.75023682"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
-8559.215,-8559.215,0.0,190000.0,,,1.0,1109,STK,COMMON,1109,22.25
-3938.526,-3938.526,0.0,25500.0,,,1.0,1211,STK,COMMON,1211,268.6
-3378.6375,-3378.6375,0.0,2625000.0,,,1.0,1288,STK,COMMON,1288,4.19
0.0,0.0,0.0,80000.0,,,1.0,1810,STK,COMMON,1810,30.8
32.1775,32.1775,0.0,5000.0,,,1.0,2020,STK,COMMON,2020,79.0
-4022.1875,-4022.1875,0.0,125000.0,,,1.0,2318,STK,COMMON,2318,45.7
-2059.36,-2059.36,0.0,20000.0,,,1.0,2359,STK,COMMON,2359,54.9
-10077.993,-10077.993,0.0,435000.0,,,1.0,2828,STK,ETF,2828,72.88
-3475.17,-3475.17,0.0,600000.0,,,1.0,3067,STK,ETF,3067,9.31
-2735.0875,-2735.0875,0.0,12500.0,,,1.0,3690,STK,COMMON,3690,158.4
349.3545,349.3545,0.0,10000.0,,,1.0,6178.T,STK,COMMON,6178,1496.5
-2000.8485,-2000.8485,0.0,15000.0,,,1.0,6501.T,STK,COMMON,6501,3945.0
-6795.888,-6795.888,0.0,240000.0,,,1.0,688,STK,COMMON,688,12.46
47365.28,47365.28,0.0,40000.0,,,1.0,700,STK,COMMON,700,415.2
-2574.2,-2574.2,0.0,500000.0,,,1.0,883,STK,COMMON,883,18.12
-2895.975,-2895.975,0.0,150000.0,,,1.0,941,STK,COMMON,941,75.5
-2960.33,-2960.33,0.0,10000.0,,,1.0,9618,STK,COMMON,9618,141.7
-386.13,-386.13,0.0,50000.0,,,1.0,992,STK,COMMON,992,9.36
-16474.88,-16474.88,0.0,8000.0,,,1.0,9961,STK,COMMON,9961,555.5
-4247.43,-4247.43,0.0,30000.0,,,1.0,9988,STK,COMMON,9988,82.95
19.3065,19.3065,0.0,3000.0,,,1.0,9992,STK,COMMON,9992,94.75
-18360.0,-18360.0,0.0,500000.0,,,1.0,9CI,STK,COMMON,9CI,2.56
3480.0,3480.0,0.0,2000.0,,,1.0,AAPL,STK,COMMON,AAPL,249.79
5540.0,5540.0,0.0,2000.0,,,1.0,AMZN,STK,COMMON,AMZN,223.29
20875.0,20875.0,0.0,2500.0,,,1.0,ANF,STK,COMMON,ANF,153.25
540.0,540.0,0.0,1500.0,,,1.0,BILI,STK,ADR,BILI,19.73
5500.0,5500.0,0.0,2000.0,,,1.0,BRK B,STK,COMMON,BRK B,449.34
-4185.0,-4185.0,0.0,1500.0,,,1.0,BX,STK,COMMON,BX,168.91
1960.0,1960.0,0.0,2000.0,,,1.0,CCJ,STK,COMMON,CCJ,52.91
-1000.0,-1000.0,0.0,1000.0,,,1.0,CRM,STK,COMMON,CRM,336.23
-280800.0,-280800.0,0.0,13000.0,,,1.0,CTAS,STK,COMMON,CTAS,182.79
-29529.5,-29529.5,0.0,38350.0,,,1.0,CWB,STK,ETF,CWB,78.07
1101.6,1101.6,0.0,50000.0,,,1.0,D05,STK,COMMON,D05,43.4
-27500.0,-27500.0,0.0,55000.0,,,1.0,DBA,STK,ETF,DBA,27.33
310.0,310.0,0.0,1000.0,,,1.0,DIA,STK,ETF,DIA,424.53
10450.0,10450.0,0.0,5000.0,,,1.0,DXJ,STK,ETF,DXJ,110.88
7500.0,7500.0,0.0,50000.0,,,1.0,EPI,STK,ETF,EPI,46.38
-15000.0,-15000.0,0.0,300000.0,,,1.0,FPE,STK,ETF,FPE,17.65
23623.54,23623.54,0.0,69481.0,,,1.0,GLD,STK,ETF,GLD,239.6
-450.0,-450.0,0.0,1000.0,,,1.0,GOOG,STK,COMMON,GOOG,189.7
3740.0,3740.0,0.0,1000.0,,,1.0,GS,STK,COMMON,GS,553.99
-22755.0,-22755.0,0.0,11100.0,,,1.0,HES,STK,COMMON,HES,127.66
1650.0,1650.0,0.0,55000.0,,,1.0,IAUM,STK,ETF,IAUM,25.9
-123000.0,-123000.0,0.0,50000.0,,,1.0,IBIT,STK,ETF,IBIT,54.72
-1310.0,-1310.0,0.0,1000.0,,,1.0,ICE,STK,COMMON,ICE,148.29
3900.0,3900.0,0.0,10000.0,,,1.0,IGV,STK,ETF,IGV,101.57
-9600.0,-9600.0,0.0,60000.0,,,1.0,IJH,STK,ETF,IJH,61.95
210.13,210.13,0.0,21013.0,,,1.0,ISTB,STK,ETF,ISTB,47.59
-35280.0,-35280.0,0.0,36000.0,,,1.0,IWM,STK,ETF,IWM,219.86
7770.0,7770.0,0.0,3000.0,,,1.0,JPM,STK,COMMON,JPM,232.96
-1200.0,-1200.0,0.0,3000.0,,,1.0,KO,STK,COMMON,KO,62.45
-2868.0,-2868.0,0.0,400.0,,,1.0,LLY,STK,COMMON,LLY,757.54
-15500.5,-15500.5,0.0,26725.0,,,1.0,LQD,STK,ETF,LQD,106.56
-840.0,-840.0,0.0,4000.0,,,1.0,MBB,STK,ETF,MBB,91.26
-6825.0,-6825.0,0.0,10500.0,,,1.0,MCD,STK,COMMON,MCD,290.23
-108.0,-108.0,0.0,300.0,,,1.0,MSFT,STK,COMMON,MSFT,437.03
288156.0,288156.0,0.0,162800.0,,,1.0,NVDA,STK,COMMON,NVDA,130.68
3380.0,3380.0,0.0,1000.0,,,1.0,ORCL,STK,COMMON,ORCL,168.79
600.0,600.0,0.0,1000.0,,,1.0,PANW,STK,COMMON,PANW,189.36
-3990.0,-3990.0,0.0,11400.0,,,1.0,PDD,STK,ADR,PDD,101.0
-142600.0,-142600.0,0.0,62000.0,,,1.0,QQQ,STK,ETF,QQQ,514.17
-5800.0,-5800.0,0.0,10000.0,,,1.0,RSP,STK,ETF,RSP,174.22
5050.0,5050.0,0.0,5000.0,,,1.0,RTX,STK,COMMON,RTX,115.46
3575.0,3575.0,0.0,5500.0,,,1.0,SE,STK,ADR,SE,111.64
-2040.0,-2040.0,0.0,12000.0,,,1.0,SHYD,STK,ETF,SHYD,22.45
-750.0,-750.0,0.0,15000.0,,,1.0,STIP,STK,ETF,STIP,100.24
-67500.0,-67500.0,0.0,50000.0,,,1.0,TLT,STK,ETF,TLT,87.81
-73140.0,-73140.0,0.0,79500.0,,,1.0,TSM,STK,ADR,TSM,194.64
-2600.0,-2600.0,0.0,65000.0,,,1.0,USHY,STK,ETF,USHY,36.54
-6600.0,-6600.0,0.0,30000.0,,,1.0,VCIT,STK,ETF,VCIT,80.31
6420.0,6420.0,0.0,2000.0,,,1.0,VKTX,STK,COMMON,VKTX,41.49
-12870.0,-12870.0,0.0,5500.0,,,1.0,XHB,STK,ETF,XHB,104.65
-49275.0,-49275.0,0.0,67500.0,,,1.0,XLE,STK,ETF,XLE,83.32
33925.71,33925.71,0.0,199563.0,,,1.0,XLF,STK,ETF,XLF,47.8
5000.0,5000.0,0.0,20000.0,,,1.0,XLK,STK,ETF,XLK,232.49
2040.0,2040.0,0.0,6000.0,,,1.0,XLU,STK,ETF,XLU,75.23
-32760.0,-32760.0,0.0,31500.0,,,1.0,XLV,STK,ETF,XLV,136.28
-12792.0,-8040.0,-4752.0,12600.0,,,1.0,XME,STK,ETF,XME,57.08
-1515.0,-1515.0,0.0,1500.0,,,1.0,XSW,STK,ETF,XSW,191.61
-8812.8,-8812.8,0.0,200000.0,,,1.0,Z74,STK,COMMON,Z74,3.1
302.4685,302.4685,0.0,-10.0,2024-12-20,270.0,500.0,1211 20DEC24 270 P,OPT,P,1211,2.75
318.55725,318.55725,0.0,-5.0,2024-12-20,275.0,500.0,1211 20DEC24 275 C,OPT,C,1211,0.3
353.9525,353.9525,0.0,-10.0,2024-12-30,285.0,500.0,1211 30DEC24 285 C,OPT,C,1211,0.48
