"BOF","U8251256","Portfolio Dashboard","6","2025-01-13","2025-01-13","2025-10-03;01:58:01","100","100"
"MSG","Realized P/L is not ready and has been disabled for this statement."
"BOA","U8251256"
"BOS","ACCT","Account Information"
"ClientAccountID","CurrencyPrimary"
"U8251256","USD"
"EOS","ACCT","1","0"
"BOS","CNAV","Change In NAV"
"StartingValue","Realized","ChangeInUnrealized","DepositsWithdrawals","EndingValue"
"61771085.47350912","0","0","0","60426206.230531976"
"EOS","CNAV","1","60426206.230531976"
"BOS","MTMP","Mark-to-Market Performance Summary in Base"
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice
10980.765,10980.765,0.0,190000.0,,,1.0,1109,STK,COMMON,1109,22.0
-7204.923,-7204.923,0.0,25500.0,,,1.0,1211,STK,COMMON,1211,249.2
-13485.15,-13485.15,0.0,2625000.0,,,1.0,1288,STK,COMMON,1288,4.17
-14448.375,-14448.375,0.0,150000.0,,,1.0,1810,STK,COMMON,1810,32.8
-64.215,-64.215,0.0,5000.0,,,1.0,2020,STK,COMMON,2020,78.0
-802.6875,-802.6875,0.0,125000.0,,,1.0,2318,STK,COMMON,2318,40.95
-3724.47,-3724.47,0.0,20000.0,,,1.0,2359,STK,COMMON,2359,52.0
-26816.184,-26816.184,0.0,435000.0,,,1.0,2828,STK,ETF,2828,70.06
-7320.51,-7320.51,0.0,600000.0,,,1.0,3067,STK,ETF,3067,8.84
-4334.5125,-4334.5125,0.0,12500.0,,,1.0,3690,STK,COMMON,3690,137.4
0.0,0.0,0.0,10000.0,,,1.0,6178.T,STK,COMMON,6178,1514.5
477.191913714,1027.44,-488.034,2000.0,,,1.0,6181,STK,COMMON,6181,296.4
0.0,0.0,0.0,15000.0,,,1.0,6501.T,STK,COMMON,6501,3810.0
4315.248,4315.248,0.0,240000.0,,,1.0,688,STK,COMMON,688,12.08
-19187.442,-19187.442,0.0,41500.0,,,1.0,700,STK,COMMON,700,366.0
26970.3,26970.3,0.0,500000.0,,,1.0,883,STK,COMMON,883,19.24
-10434.9375,-10434.9375,0.0,125000.0,,,1.0,941,STK,COMMON,941,74.15
-3050.2125,-3050.2125,0.0,12500.0,,,1.0,9618,STK,COMMON,9618,129.0
-449.505,-449.505,0.0,50000.0,,,1.0,992,STK,COMMON,992,9.27
-1952.136,-1952.136,0.0,9500.0,,,1.0,9961,STK,COMMON,9961,496.4
-5779.35,-5779.35,0.0,30000.0,,,1.0,9988,STK,COMMON,9988,78.1
-7290.7,-7290.7,0.0,500000.0,,,1.0,9CI,STK,COMMON,9CI,2.45
-4900.0,-4900.0,0.0,2000.0,,,1.0,AAPL,STK,COMMON,AAPL,234.4
-960.0,-960.0,0.0,2000.0,,,1.0,AMZN,STK,COMMON,AMZN,218.46
-14312.27225,-25200.0,10890.0,500.0,,,1.0,ANF,STK,COMMON,ANF,135.72
-5800.0,-5800.0,0.0,500.0,,,1.0,ASML,STK,NY REG SHRS,ASML,727.41
325.0,325.0,0.0,2500.0,,,1.0,BILI,STK,ADR,BILI,16.1
2500.0,2500.0,0.0,2000.0,,,1.0,BRK B,STK,COMMON,BRK B,443.91
-3235.0,1380.0,-4615.0,2000.0,,,1.0,BX,STK,COMMON,BX,165.77
9200.0,9200.0,0.0,800.0,,,1.0,CAT,STK,COMMON,CAT,362.5
-880.0,-880.0,0.0,2000.0,,,1.0,CCJ,STK,COMMON,CCJ,48.8
1220.0,1220.0,0.0,1000.0,,,1.0,CRM,STK,COMMON,CRM,319.07
13000.0,13000.0,0.0,10000.0,,,1.0,CTAS,STK,COMMON,CTAS,190.6
-11505.0,-11505.0,0.0,38350.0,,,1.0,CWB,STK,ETF,CWB,77.55
-2187.21,-2187.21,0.0,50000.0,,,1.0,D05,STK,COMMON,D05,44.07
16500.0,16500.0,0.0,55000.0,,,1.0,DBA,STK,ETF,DBA,26.75
8115.88,7260.0,0.0,2000.0,,,1.0,DIA,STK,ETF,DIA,422.96
-32526.63502058,-30500.0,-1887.713,30000.0,,,1.0,EPI,STK,ETF,EPI,43.28
-12590.85732564,-12000.0,-370.1928,150000.0,,,1.0,FPE,STK,ETF,FPE,17.53
-171618.07,-171618.07,0.0,69481.0,,,1.0,GLD,STK,ETF,GLD,245.74
-2640.0,-2640.0,0.0,3000.0,,,1.0,GOOG,STK,COMMON,GOOG,192.29
5900.0,5900.0,0.0,2000.0,,,1.0,GS,STK,COMMON,GS,562.95
26862.0,26862.0,0.0,11100.0,,,1.0,HES,STK,COMMON,HES,144.83
-14850.0,-14850.0,0.0,55000.0,,,1.0,IAUM,STK,ETF,IAUM,26.56
-34100.0,-34100.0,0.0,55000.0,,,1.0,IBIT,STK,ETF,IBIT,53.22
1090.0,1090.0,0.0,1000.0,,,1.0,ICE,STK,COMMON,ICE,143.89
-9350.0,-9350.0,0.0,11000.0,,,1.0,IGV,STK,ETF,IGV,96.36
30240.0,30240.0,0.0,63000.0,,,1.0,IJH,STK,ETF,IJH,62.37
-420.26,-420.26,0.0,21013.0,,,1.0,ISTB,STK,ETF,ISTB,47.59
15120.0,15120.0,0.0,36000.0,,,1.0,IWM,STK,ETF,IWM,217.25
14730.0,13020.0,1710.0,4000.0,,,1.0,JPM,STK,COMMON,JPM,244.21
2900.0,2900.0,0.0,5000.0,,,1.0,KO,STK,COMMON,KO,61.65
-968.0,-968.0,0.0,400.0,,,1.0,LLY,STK,COMMON,LLY,797.48
-6000.0,-6000.0,0.0,20000.0,,,1.0,LQD,STK,ETF,LQD,105.1
-600.0,-600.0,0.0,4000.0,,,1.0,MBB,STK,ETF,MBB,90.37
5971.80700881,13860.0,-7830.38,5000.0,,,1.0,MCD,STK,COMMON,MCD,283.63
-3307.0,-2464.0,-843.0,1700.0,,,1.0,MSFT,STK,COMMON,MSFT,417.19
-554004.0,-436304.0,-117700.0,172800.0,,,1.0,NVDA,STK,COMMON,NVDA,133.23
-5160.0,-870.0,-4290.0,2000.0,,,1.0,ORCL,STK,COMMON,ORCL,153.92
-14000.0,-14000.0,0.0,2500.0,,,1.0,PANW,STK,COMMON,PANW,167.82
14820.0,14820.0,0.0,11400.0,,,1.0,PDD,STK,ADR,PDD,95.98
-5700.0,-5700.0,0.0,2500.0,,,1.0,PLTR,STK,COMMON,PLTR,64.98
-101060.0,-101060.0,0.0,62000.0,,,1.0,QQQ,STK,ETF,QQQ,505.56
-581.28259229,14200.0,-14684.27,0.0,,,1.0,RSP,STK,ETF,RSP,174.67
13150.0,13150.0,0.0,5000.0,,,1.0,RTX,STK,COMMON,RTX,117.74
-12688.71167761,-7810.0,-4848.71,0.0,,,1.0,SE,STK,ADR,SE,106.87
-720.0,-720.0,0.0,12000.0,,,1.0,SHYD,STK,ETF,SHYD,22.46
-1285.0,0.0,-1285.0,500.0,,,1.0,SNOW,STK,COMMON,SNOW,162.43
1350.0,1350.0,0.0,15000.0,,,1.0,STIP,STK,ETF,STIP,100.72
-1575.0,-1575.0,0.0,52500.0,,,1.0,TLT,STK,ETF,TLT,85.43
-750915.0,-571315.0,-179600.0,96500.0,,,1.0,TSM,STK,ADR,TSM,201.36
800.0,800.0,0.0,40000.0,,,1.0,USHY,STK,ETF,USHY,36.73
-6600.0,-6600.0,0.0,30000.0,,,1.0,VCIT,STK,ETF,VCIT,79.17
-860.0,-860.0,0.0,2000.0,,,1.0,VKTX,STK,COMMON,VKTX,38.88
8250.0,8250.0,0.0,5500.0,,,1.0,XHB,STK,ETF,XHB,103.88
125550.0,125550.0,0.0,67500.0,,,1.0,XLE,STK,ETF,XLE,90.25
67851.42,67851.42,0.0,199563.0,,,1.0,XLF,STK,ETF,XLF,47.66
-39042.0,-39042.0,0.0,24100.0,,,1.0,XLK,STK,ETF,XLK,227.16
-5280.0,-5280.0,0.0,6000.0,,,1.0,XLU,STK,ETF,XLU,74.7
57330.0,57330.0,0.0,31500.0,,,1.0,XLV,STK,ETF,XLV,141.46
17820.0,17820.0,0.0,13500.0,,,1.0,XME,STK,ETF,XME,58.45
-6450.0,-6450.0,0.0,4300.0,,,1.0,XSW,STK,ETF,XSW,182.25
7290.7,7290.7,0.0,200000.0,,,1.0,Z74,STK,COMMON,Z74,3.12
37.951065,0.0,44.9505,-10.0,2025-01-17,245.0,500.0,1211 17JAN25 245 P,OPT,P,1211,2.38
32.36436,0.0,40.45545,-15.0,2025-01-17,360.0,100.0,700 17JAN25 360 P,OPT,P,700,2.39
-125.21925,-125.21925,0.0,-15.0,2025-01-27,370.0,100.0,700 27JAN25 370 P,OPT,P,700,9.23
-375.65775,-375.65775,0.0,-15.0,2025-01-27,380.0,100.0,700 27JAN25 380 P,OPT,P,700,16.02
0.0,0.0,0.0,0.0,2025-01-10,155.0,100.0,ANF 10JAN25 155 P,OPT,P,ANF,0.0
1710.0,0.0,1710.0,0.0,2025-01-10,157.5,100.0,ANF 10JAN25 157.5 C,OPT,C,ANF,0.0
5075.0,0.0,5075.0,0.0,2025-01-10,175.0,100.0,BX 10JAN25 175 P,OPT,P,BX,0.0
0.0,0.0,0.0,0.0,2025-01-10,350.0,100.0,CAT 10JAN25 350 P,OPT,P,CAT,0.0
0.0,0.0,0.0,0.0,2025-01-10,362.5,100.0,CAT 10JAN25 362.5 C,OPT,C,CAT,0.0
0.0,0.0,0.0,0.0,2025-01-10,195.0,100.0,GOOG 10JAN25 195 C,OPT,C,GOOG,0.0
-150.0,-150.0,0.0,-15.0,2025-01-17,63.0,100.0,IJH 17JAN25 63 C,OPT,C,IJH,0.375
2630.0,0.0,2630.0,0.0,2025-01-10,242.5,100.0,JPM 10JAN25 242.5 P,OPT,P,JPM,0.0
0.0,0.0,0.0,0.0,2025-01-10,245.0,100.0,JPM 10JAN25 245 C,OPT,C,JPM,0.0
-12.0,-12.0,0.0,10.0,2025-01-17,315.0,100.0,MCD 17JAN25 315 C,OPT,C,MCD,0.0098
315.0,0.0,315.0,0.0,2025-01-10,420.0,100.0,MSFT 10JAN25 420 P,OPT,P,MSFT,0.0
0.0,0.0,0.0,0.0,2025-01-10,145.0,100.0,NVDA 10JAN25 145 C,OPT,C,NVDA,0.0
90900.0,0.0,90900.0,0.0,2025-01-10,145.0,100.0,NVDA 10JAN25 145 P,OPT,P,NVDA,0.0
0.0,0.0,0.0,0.0,2025-01-10,150.0,100.0,NVDA 10JAN25 150 C,OPT,C,NVDA,0.0
0.0,0.0,0.0,0.0,2025-01-10,152.5,100.0,NVDA 10JAN25 152.5 C,OPT,C,NVDA,0.0
0.0,0.0,0.0,0.0,2025-01-10,157.5,100.0,NVDA 10JAN25 157.5 C,OPT,C,NVDA,0.0
-3650.0,-3650.0,0.0,-100.0,2025-01-17,130.0,100.0,NVDA 17JAN25 130 P,OPT,P,NVDA,1.55
6945.175,0.0,6989.0,100.0,2025-03-21,135.0,100.0,NVDA 21MAR25 135 C,OPT,C,NVDA,11.6189
4000.0,0.0,4000.0,0.0,2025-01-10,162.5,100.0,ORCL 10JAN25 162.5 P,OPT,P,ORCL,0.0
0.0,0.0,0.0,0.0,2025-01-10,106.0,100.0,PDD 10JAN25 106 C,OPT,C,PDD,0.0
207.12125,0.0,217.0,-14.0,2025-01-17,100.0,100.0,PDD 17JAN25 100 C,OPT,C,PDD,0.595
0.0,0.0,0.0,0.0,2025-01-10,80.0,100.0,PLTR 10JAN25 80 C,OPT,C,PLTR,0.0
0.0,0.0,0.0,0.0,2025-01-10,535.0,100.0,QQQ 10JAN25 535 C,OPT,C,QQQ,0.0
27390.175,0.0,27435.0,100.0,2025-06-20,500.0,100.0,QQQ 20JUN25 500 C,OPT,C,QQQ,36.3435
455.74234,0.0,460.3,-10.0,2025-01-17,105.0,100.0,SE 17JAN25 105 P,OPT,P,SE,1.2397
0.0,0.0,0.0,0.0,2025-01-10,157.5,100.0,SNOW 10JAN25 157.5 P,OPT,P,SNOW,0.0
1270.0,0.0,1270.0,0.0,2025-01-10,165.0,100.0,SNOW 10JAN25 165 P,OPT,P,SNOW,0.0
41.449913,0.0,45.0,-5.0,2025-01-17,160.0,100.0,SNOW 17JAN25 160 P,OPT,P,SNOW,2.24
0.0,0.0,0.0,0.0,2025-01-10,210.0,100.0,TSM 10JAN25 210 C,OPT,C,TSM,0.0
41300.0,0.0,41300.0,0.0,2025-01-10,212.5,100.0,TSM 10JAN25 212.5 P,OPT,P,TSM,0.0
0.0,0.0,0.0,0.0,2025-01-10,215.0,100.0,TSM 10JAN25 215 C,OPT,C,TSM,0.0
33150.0,0.0,33150.0,0.0,2025-01-10,215.0,100.0,TSM 10JAN25 215 P,OPT,P,TSM,0.0
-6700.0,-6700.0,0.0,-100.0,2025-01-31,180.0,100.0,TSM 31JAN25 180 P,OPT,P,TSM,1.685
0.0,0.0,0.0,0.0,2025-01-10,48.5,100.0,XLF 10JAN25 48.5 C,OPT,C,XLF,0.0
0.0,0.0,0.0,0.0,2025-01-10,49.0,100.0,XLF 10JAN25 49 C,OPT,C,XLF,0.0
0.0,0.0,0.0,0.0,2025-01-10,240.0,100.0,XLK 10JAN25 240 C,OPT,C,XLK,0.0
0.0,0.0,0.0,0.0,2025-01-10,242.5,100.0,XLK 10JAN25 242.5 C,OPT,C,XLK,0.0
-17.35,-17.35,0.0,-5.0,2025-01-17,200.0,100.0,XSW 17JAN25 200 C,OPT,C,XSW,0.504
6187.5,6187.5,0.0,15.0,2025-03-21,,50.0,ESH5,FUT,,ES,5874.5
-41250.0,-41250.0,0.0,30.0,2025-03-21,,20.0,NQH5,FUT,,NQ,20947.25
-312.5,-312.5,0.0,25.0,2025-01-31,6075.0,50.0,ES 31JAN25 6075 C,FOP,C,ESH5,12.0
2035.8,0.0,2050.0,0.0,2025-01-13,20960.0,20.0,NQ 13JAN25 20960 C,FOP,C,NQH5,0.0
-6000.0,-6000.0,0.0,30.0,2025-01-31,22200.0,20.0,NQ 31JAN25 22200 C,FOP,C,NQH5,30.25
0.0,0.0,0.0,4.515e-06,,,0.0,CAD,CASH,,,0.69451
6e-08,6e-08,0.0,-2.9287e-05,,,0.0,CHF,CASH,,,1.089
2.36771293,2.36771293,0.0,-789.237642087,,,0.0,EUR,CASH,,,1.0216
327.23383769,327.23383769,0.0,-101334235.035944,,,0.0,HKD,CASH,,,0.12843
