BOF,U8251256,Portfolio Dashboard,6,9/10/2025,9/10/2025,2025-10-10;01:27:00,100,100,,,,
MSG,Realized P/L is not ready and has been disabled for this statement.,,,,,,,,,,,
BOA,U8251256,,,,,,,,,,,
BOS,ACCT,Account Information,,,,,,,,,,
ClientAccountID,CurrencyPrimary,,,,,,,,,,,
U8251256,USD,,,,,,,,,,,
EOS,ACCT,1,0,,,,,,,,,
BOS,CNAV,Change In NAV,,,,,,,,,,
StartingValue,Realized,ChangeInUnrealized,DepositsWithdrawals,EndingValue,,,,,,,,
24543206.8,0,0,0,24236432.34,,,,,,,,
EOS,CNAV,1,24236432.34,,,,,,,,,
BOS,MTMP,Mark-to-Market Performance Summary in Base,,,,,,,,,,
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice,
-146779.7031,-99783.24,-46979.68,43669,,,1,AMD,STK,COMMON,AMD,232.89,
-6220,-6220,0,311000,,,1,EBND,STK,ETF,EBND,21.22,
-9653.25,-9653.25,0,193065,,,1,EMLC,STK,ETF,EMLC,25.38,
-145517.3281,-143292.12,-2207.66,-395793,,,1,INTC,STK,COMMON,INTC,37.8,
1129.25,1129.25,0,112925,,,1,SGOV,STK,ETF,SGOV,100.46,
-2.00E-08,-2.00E-08,0,4.52E-06,,,0,CAD,CASH,,,0.71317,
2.00E-07,2.00E-07,0,-2.93E-05,,,0,CHF,CASH,,,1.2402,
-0.11444709,-0.11444709,0,17.88235791,,,0,EUR,CASH,,,1.1565,
-0.12697637,-0.12697637,0,-12697.6368,,,0,HKD,CASH,,,0.12851,
3.00E-08,3.00E-08,0,-0.0017193,,,0,JPY,CASH,,,0.0065324,
6.40E-07,6.40E-07,0,-0.00382842,,,0,MXN,CASH,,,0.054368,
-3.80E-07,-3.80E-07,0,0.000335185,,,0,SEK,CASH,,,0.10485,
-0.06775352,-0.06775352,0,26.57000711,,,0,SGD,CASH,,,0.7694,
