BOF,U8251256,Portfolio Dashboard,6,10/10/2025,10/10/2025,2025-10-12;23:39:10,100,100,,,,,
BOA,U18135473,,,,,,,,,,,,
BOS,ACCT,Account Information,,,,,,,,,,,
ClientAccountID,CurrencyPrimary,,,,,,,,,,,,
U18135473,USD,,,,,,,,,,,,
EOS,ACCT,1,0,,,,,,,,,,
BOS,CNAV,Change In NAV,,,,,,,,,,,
StartingValue,Realized,ChangeInUnrealized,DepositsWithdrawals,EndingValue,,,,,,,,,
85351173.34,0,0,0,83824137.04,,,,,,,,,
EOS,CNAV,1,83824137.04,,,,,,,,,,
BOS,MTMP,Mark-to-Market Performance Summary in Base,,,,,,,,,,,
Total,PriorOpenMtmPnl,TransactionMtmPnl,CloseQuantity,Expiry,Strike,Multiplier,Symbol,AssetClass,SubCategory,UnderlyingSymbol,ClosePrice,Description,
5767.08,5767.08,0,132000,,,1,1109,STK,COMMON,1109,29.46,CHINA RESOURCES LAND LTD,
23520.64,23520.64,0,2288000,,,1,1288,STK,COMMON,1288,5.23,AGRICULTURAL BANK OF CHINA-H,
2525.025,2525.025,0,1965000,,,1,1398,STK,COMMON,1398,5.66,IND & COMM BK OF CHINA - H,
-9009.135,-9009.135,0,73800,,,1,1698,STK,COMMON,1698,90.15,TENCENT MUSIC ENT - CLASS A,
-7517.25,-7517.25,0,45000,,,1,1810,STK,COMMON,1810,52.05,XIAOMI CORP-CLASS B,
-34001.1,-34001.1,0,37800,,,1,2359,STK,COMMON,2359,112.4,WUXI APPTEC CO LTD-H,
-3703.37,-3703.37,0,65500,,,1,2800,STK,ETF,2800,26.96,TRACKER FUND OF HONG KONG-B,
-11740.788,-11740.788,0,48600,,,1,2828,STK,ETF,2828,95.6,HANGSENG CHINA ENT INDEX,
-124083.4934,-121098.4,-2302.72,476000,,,1,2899,STK,COMMON,2899,33.66,ZIJIN MINING GROUP CO LTD-H,
-23233.9565,-23233.9565,0,384700,,,1,3067,STK,ETF,3067,13.17,ISHARES HANG SENG TECH E,
-44501.39604,-44795.1,533.275,10400,,,1,3750,STK,COMMON,3750,543,CONTEMPORARY AMPEREX TECHN-H,
-59509.25727,-57534.59,-1112.81,45900,,,1,388,STK,COMMON,388,444.6,HONG KONG EXCHANGES & CLEAR,
2771.745,2771.745,0,2157000,,,1,3988,STK,COMMON,3988,4.2,BANK OF CHINA LTD-H,
-137362.6693,-135079.2,-777.425,54800,,,1,700,STK,COMMON,700,651.5,TENCENT HOLDINGS LTD,
19675.92,19675.92,0,1276000,,,1,762,STK,COMMON,762,8.95,CHINA UNICOM HONG KONG LTD,
-12538.11493,-11319.24576,-1173.46552,179300,,,1,8346.T,STK,COMMON,8346,433,TOHO BANK LTD/THE,
-16441.27223,-15187.5808,-1216.46172,20500,,,1,8360.T,STK,COMMON,8360,3170,YAMANASHI CHUO BANK LTD/THE,
740.16,740.16,0,576000,,,1,857,STK,COMMON,857,7.27,PETROCHINA CO LTD-H,
1002.3,1002.3,0,130000,,,1,883,STK,COMMON,883,18.86,CNOOC LTD-H,
-2386.245,-2386.245,0,123800,,,1,9633,STK,COMMON,9633,54.05,NONGFU SPRING CO LTD-H,
9920.2,9920.2,0,9650,,,1,9961,STK,COMMON,9961,569,TRIP.COM GROUP LTD,
-22179.73664,-22179.73664,0,2876600,,,1,A17U,STK,REIT,A17U,2.84,CAPITALAND ASCENDAS REIT,
-192.94,-192.94,0,22,,,1,AAPL,STK,COMMON,AAPL,245.27,APPLE INC,
1075.02612,-1560,2638,17000,,,1,AGQ,STK,ETF,AGQ,78.67,PROSHARES ULTRA SILVER,
-852.04,-852.04,0,28,,,1,APP,STK,COMMON,APP,569.89,APPLOVIN CORP-CLASS A,
-109593.0871,-172750.26,63200.67,0,,,1,ARKK,STK,ETF,ARKK,86.52,ARK INNOVATION ETF,
-6624,-6624,0,1104,,,1,AVAV,STK,COMMON,AVAV,392.29,AEROVIRONMENT INC,
-56154,-56154,0,28650,,,1,AVDV,STK,ETF,AVDV,87.37,AVANTIS INTL S/C VALUE ETF,
-27296.82,-27296.82,0,9819,,,1,AVEM,STK,ETF,AVEM,73.09,AVANTIS EMERGING MARKETS EQ,
-73.35,-73.35,0,5,,,1,BABA,STK,ADR,BABA,159.01,ALIBABA GROUP HOLDING-SP ADR,
-9945,-9945,0,1500,,,1,BMNR,STK,COMMON,BMNR,52.47,BITMINE IMMERSION TECHNOLOGI,
-1405.60592,-1405.60592,0,182300,,,1,BN4,STK,COMMON,BN4,9.16,KEPPEL LTD,
-2767.42996,0,-2599.774,68000,,,1,BND,STK,ETF,BND,74.52,VANGUARD TOTAL BOND MARKET,
-5685.6,-5685.6,0,1030,,,1,BWXT,STK,COMMON,BWXT,190.08,BWX TECHNOLOGIES INC,
-1326.1888,-1326.1888,0,43000,,,1,C6L,STK,COMMON,C6L,6.64,SINGAPORE AIRLINES LTD,
-1567.5,-1567.5,0,1650,,,1,CACI,STK,COMMON,CACI,510.35,CACI INTERNATIONAL INC -CL A,
-60389.78,-60389.78,0,4097,,,1,CEG,STK,COMMON,CEG,368.49,CONSTELLATION ENERGY,
3719.25,3719.25,0,1425,,,1,CME,STK,COMMON,CME,271.45,CME GROUP INC,
-16644.45,-16644.45,0,555,,,1,COIN,STK,COMMON,COIN,357.01,COINBASE GLOBAL INC -CLASS A,
-333.26,-333.26,0,19,,,1,CRCL,STK,COMMON,CRCL,132.94,CIRCLE INTERNET GROUP INC,
-61.88,-61.88,0,4,,,1,CRWD,STK,COMMON,CRWD,493.66,CROWDSTRIKE HOLDINGS INC - A,
-151.5,-151.5,0,75,,,1,CSCO,STK,COMMON,CSCO,67.94,CISCO SYSTEMS INC,
-13590.94,-13590.94,0,3586,,,1,CTAS,STK,COMMON,CTAS,187.96,CINTAS CORP,
-8392.62,-8392.62,0,3063,,,1,CVX,STK,COMMON,CVX,148.9,CHEVRON CORP,
-46.2624,-46.2624,0,1000,,,1,D05,STK,COMMON,D05,53.85,DBS GROUP HOLDINGS LTD,
-229.19,-229.19,0,43,,,1,DDOG,STK,COMMON,DDOG,158.74,DATADOG INC - CLASS A,
-78.96,-78.96,0,8,,,1,DE,STK,COMMON,DE,446.35,DEERE & CO,
-1386,-1386,0,630,,,1,DFDV,STK,COMMON,DFDV,15.71,DEFI DEVELOPMENT CORP,
8927.05,8927.05,0,16231,,,1,DG,STK,COMMON,DG,99.22,DOLLAR GENERAL CORP,
-251.25,-251.25,0,5025,,,1,EBND,STK,ETF,EBND,21.17,SPDR BLOOMBERG EM BOND,
-6.92,-6.92,0,4,,,1,EFA,STK,ETF,EFA,92.24,ISHARES MSCI EAFE ETF,
-10018.8,-10018.8,0,1815,,,1,EMR,STK,COMMON,EMR,126.01,EMERSON ELECTRIC CO,
-6836.73,-6836.73,0,843,,,1,ETN,STK,COMMON,ETN,369.08,EATON CORP PLC,
-8727.19,-8727.19,0,8473,,,1,EWW,STK,ETF,EWW,64.39,ISHARES MSCI MEXICO ETF,
-7.04,-7.04,0,8,,,1,EWZ,STK,ETF,EWZ,28.79,ISHARES MSCI BRAZIL ETF,
30622.32,30622.32,0,56708,,,1,FXE,STK,ETF,FXE,107.16,INVESCO CURRENCYSHARES EURO,
43419.24,43419.24,0,53604,,,1,FXF,STK,ETF,FXF,110.51,INVESCO CURRENCYSHARES SWISS,
57082.5,57082.5,0,96750,,,1,FXY,STK,ETF,FXY,60.68,INVESCO CURRENCYSHARES JAPAN,
1887,1887,0,11100,,,1,GDX,STK,ETF,GDX,75.78,VANECK GOLD MINERS ETF,
-25820.1,-25820.1,0,3285,,,1,GE,STK,COMMON,GE,291.49,GENERAL ELECTRIC,
-2228.25,-2228.25,0,75,,,1,GEV,STK,COMMON,GEV,604.56,GE VERNOVA INC,
-145.5,-145.5,0,75,,,1,HD,STK,COMMON,HD,375.75,HOME DEPOT INC,
16701.35,16701.35,0,40735,,,1,IAUM,STK,ETF,IAUM,40.01,ISHARES GOLD TRUST MICRO,
-54676.04,-54676.04,0,21526,,,1,IBIT,STK,ETF,IBIT,66.2,ISHARES BITCOIN TRUST ETF,
-3903.75,-3903.75,0,375,,,1,IBM,STK,COMMON,IBM,277.82,INTL BUSINESS MACHINES CORP,
-3819.6,-3819.6,0,2122,,,1,ICE,STK,COMMON,ICE,157.5,INTERCONTINENTAL EXCHANGE IN,
-36477.72,-36477.72,0,47997,,,1,IDMO,STK,ETF,IDMO,52.87,INVESCO S&P INTERNATIONAL DE,
-9280,-9280,0,2000,,,1,JPM,STK,COMMON,JPM,300.89,JPMORGAN CHASE & CO,
-1320,-1320,0,2400,,,1,LAC,STK,COMMON,LAC,7.49,LITHIUM AMERICAS CORP,
-16395,-16395,0,750,,,1,LLY,STK,COMMON,LLY,833.49,ELI LILLY & CO,
0,0,0,4057800,,,1,ME8U,STK,REIT,ME8U,2.14,MAPLETREE INDUSTRIAL TRUST,
-10741.08,-10741.08,0,76,,,1,MELI,STK,COMMON,MELI,2133.67,MERCADOLIBRE INC,
-38975,-38975,0,15590,,,1,NDAQ,STK,COMMON,NDAQ,88.9,NASDAQ INC,
-15701.76,-15701.76,0,1363,,,1,NOC,STK,COMMON,NOC,623.49,NORTHROP GRUMMAN CORP,
-204.68,-204.68,0,7,,,1,NOW,STK,COMMON,NOW,888.71,SERVICENOW INC,
-8132,-8132,0,813200,,,1,NTDU,STK,REIT,NTDU,1.04,NTT DC REIT,
-10821.5,-10821.5,0,1150,,,1,NVDA,STK,COMMON,NVDA,183.16,NVIDIA CORP,
-10194.4,-10194.4,0,25486,,,1,O,STK,REIT,O,58.26,REALTY INCOME CORP,
-11114.98,-11114.98,0,1679,,,1,PANW,STK,COMMON,PANW,208.55,PALO ALTO NETWORKS INC,
-15988.5,-15988.5,0,8415,,,1,PKB,STK,ETF,PKB,92.24,INVESCO BUILDING & CONSTRUCT,
-752.25,-752.25,0,75,,,1,PLTR,STK,COMMON,PLTR,175.44,PALANTIR TECHNOLOGIES INC-A,
43117.82,43117.82,0,11911,,,1,PM,STK,COMMON,PM,160.47,PHILIP MORRIS INTERNATIONAL,
-146.25,-146.25,0,75,,,1,PONY,STK,ADR,PONY,20.29,PONY AI INC,
-318,-318,0,15,,,1,QQQ,STK,ETF,QQQ,589.5,INVESCO QQQ TRUST SERIES 1,
-27180.16,-27180.16,0,6067,,,1,RTX,STK,COMMON,RTX,157.7,RTX CORP,
