"ClientAccountID","CurrencyPrimary","AssetClass","SubCategory","Symbol","Description"
"U18135473","HKD","STK","COMMON","1109","CHINA RESOURCES LAND LTD"
"U18135473","HKD","STK","COMMON","1288","AGRICULTURAL BANK OF CHINA-H"
"U18135473","HKD","STK","COMMON","1398","IND & COMM BK OF CHINA - H"
"U18135473","HKD","STK","COMMON","1698","TENCENT MUSIC ENT - CLASS A"
"U18135473","HKD","STK","COMMON","1810","XIAOMI CORP-CLASS B"
"U18135473","HKD","STK","COMMON","2359","WUXI APPTEC CO LTD-H"
"U18135473","HKD","STK","ETF","2800","TRACKER FUND OF HONG KONG-B"
"U18135473","HKD","STK","ETF","2828","HANGSENG CHINA ENT INDEX"
"U18135473","HKD","STK","COMMON","2899","ZIJIN MINING GROUP CO LTD-H"
"U18135473","HKD","STK","ETF","3067","ISHARES HANG SENG TECH E"
"U18135473","HKD","STK","COMMON","3750","CONTEMPORARY AMPEREX TECHN-H"
"U18135473","HKD","STK","COMMON","388","HONG KONG EXCHANGES & CLEAR"
"U18135473","HKD","STK","COMMON","3988","BANK OF CHINA LTD-H"
"U18135473","HKD","STK","COMMON","700","TENCENT HOLDINGS LTD"
"U18135473","HKD","STK","COMMON","762","CHINA UNICOM HONG KONG LTD"
"U18135473","HKD","STK","COMMON","857","PETROCHINA CO LTD-H"
"U18135473","HKD","STK","COMMON","883","CNOOC LTD-H"
"U18135473","HKD","STK","COMMON","9633","NONGFU SPRING CO LTD-H"
"U18135473","HKD","STK","COMMON","9961","TRIP.COM GROUP LTD"
"U18135473","JPY","STK","COMMON","8346.T","TOHO BANK LTD/THE"
"U18135473","JPY","STK","COMMON","8360.T","YAMANASHI CHUO BANK LTD/THE"
"U18135473","SGD","STK","REIT","A17U","CAPITALAND ASCENDAS REIT"
"U18135473","SGD","STK","COMMON","BN4","KEPPEL LTD"
"U18135473","SGD","STK","COMMON","C6L","SINGAPORE AIRLINES LTD"
"U18135473","SGD","STK","COMMON","D05","DBS GROUP HOLDINGS LTD"
"U18135473","SGD","STK","REIT","ME8U","MAPLETREE INDUSTRIAL TRUST"
"U18135473","SGD","STK","COMMON","S68","SINGAPORE EXCHANGE LTD"
"U18135473","SGD","STK","COMMON","U96","SEMBCORP INDUSTRIES LTD"
"U18135473","USD","STK","COMMON","AAPL","APPLE INC"
"U18135473","USD","STK","ETF","AGQ","PROSHARES ULTRA SILVER"
"U18135473","USD","STK","COMMON","APP","APPLOVIN CORP-CLASS A"
"U18135473","USD","STK","COMMON","AVAV","AEROVIRONMENT INC"
"U18135473","USD","STK","ETF","AVDV","AVANTIS INTL S/C VALUE ETF"
"U18135473","USD","STK","ETF","AVEM","AVANTIS EMERGING MARKETS EQ"
"U18135473","USD","STK","ADR","BABA","ALIBABA GROUP HOLDING-SP ADR"
"U18135473","USD","STK","COMMON","BMNR","BITMINE IMMERSION TECHNOLOGI"
"U18135473","USD","STK","ETF","BND","VANGUARD TOTAL BOND MARKET"
"U18135473","USD","STK","COMMON","BWXT","BWX TECHNOLOGIES INC"
"U18135473","USD","STK","COMMON","CACI","CACI INTERNATIONAL INC -CL A"
"U18135473","USD","STK","COMMON","CEG","CONSTELLATION ENERGY"
"U18135473","USD","STK","COMMON","CME","CME GROUP INC"
"U18135473","USD","STK","COMMON","COIN","COINBASE GLOBAL INC -CLASS A"
"U18135473","USD","STK","COMMON","CRCL","CIRCLE INTERNET GROUP INC"
"U18135473","USD","STK","COMMON","CRWD","CROWDSTRIKE HOLDINGS INC - A"
"U18135473","USD","STK","COMMON","CSCO","CISCO SYSTEMS INC"
"U18135473","USD","STK","COMMON","CTAS","CINTAS CORP"
