Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,Golden Horse Global Macro Discretionary Fund,U8251256,,USD,Separate Trading Limit,"February 3, 2025 to February 11, 2025 (Daily)",TWR
Key Statistics,MetaInfo,Analysis Period,"February 3, 2025 - February 11, 2025"
Key Statistics,Header,BeginningNAV,EndingNAV,CumulativeReturn,5DayReturn,5DayReturnDateRange,10DayReturn,10DayReturnDateRange,BestReturn,BestReturnDate,WorstReturn,WorstReturnDate,MTM,Deposits & Withdrawals,Dividends,Interest,Fees & Commissions,Other,ChangeInNAV
Key Statistics,Data,66302109.02544817,66430183.14176565,0.193167485,0.151285323,20250205 - 20250211,,,0.07140134,20250205,-0.002375159,20250211,78274.25,0,0,-472187.0256944,-3633.161035,525620.053046873,128074.116317473
Historical Performance Benchmark Comparison,MetaInfo,Analysis Period,"March 22, 2018 - February 11, 2025"
Historical Performance Benchmark Comparison,Header,Account,MTD,QTD,YTD,1 Year,3 Year,5 Year,Since Inception
Historical Performance Benchmark Comparison,Data,SPXTR,0.49444745,3.29295173,3.29295173,22.384632961,41.121523016,95.791732912,151.122207661
Historical Performance Benchmark Comparison,Data,EFA,1.627965674,6.507075784,6.507075784,10.318763966,14.472926609,34.72406168,41.632179261
Historical Performance Benchmark Comparison,Data,VT,0.900305608,3.983656793,3.983656793,17.901143829,26.150219622,64.568981747,88.616797264
Historical Performance Benchmark Comparison,Data,U8251256,0.193167475,6.792460298,6.792460298,54.589043323,34.415349887,-54.702715641,< -2000000
Historical Performance Benchmark Comparison,Header,Month,BM1,BM1Return,BM2,BM2Return,BM3,BM3Return,Account,AccountReturn
Historical Performance Benchmark Comparison,Data,202501,SPXTR,2.784735227,EFA,4.800952255,VT,3.055839292,U8251256,6.586569713
Historical Performance Benchmark Comparison,Data,202502,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202503,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202504,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202505,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202506,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202507,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202508,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202509,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202510,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202511,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202512,SPXTR,-,EFA,-,VT,-,U8251256,-
Historical Performance Benchmark Comparison,Data,202401,SPXTR,1.680411083,EFA,-0.451227605,VT,-0,U8251256,-13.043280056
Historical Performance Benchmark Comparison,Data,202402,SPXTR,5.33958394,EFA,2.986268498,VT,4.49066874,U8251256,-0.645749828
Historical Performance Benchmark Comparison,Data,202403,SPXTR,3.217469362,EFA,3.378640777,VT,3.191062404,U8251256,10.31103208
Historical Performance Benchmark Comparison,Data,202404,SPXTR,-4.084504945,EFA,-3.243175557,VT,-3.583710407,U8251256,-17.763991929
Historical Performance Benchmark Comparison,Data,202405,SPXTR,4.958517704,EFA,5.060178595,VT,4.599211564,U8251256,22.363101284
Historical Performance Benchmark Comparison,Data,202406,SPXTR,3.58817542,EFA,-1.807607101,VT,1.587336699,U8251256,7.397797793
Historical Performance Benchmark Comparison,Data,202407,SPXTR,1.217251819,EFA,2.591599643,VT,1.979934298,U8251256,0.079386436
