Statement,Header,Field Name,Field Value,,,,,,,,,,,,,
Statement,Data,Title,Activity Summary,,,,,,,,,,,,,
Statement,Data,Period,17-Jul-25,,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2025-07-18, 02:10:00 EDT",,,,,,,,,,,,,
Disclaimer,Header,Field Name,Field Value,,,,,,,,,,,,,
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website.",,,,,,,,,,,,,
Trades,Header,DataDiscriminator,Asset Category,Currency,Account,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-07-17, 10:16:14","-1,295",246.7726641,248.8,319570.6,-29.370584,-318628.142,913.087404,-2625.4,C
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-07-17, 10:17:04",-971,246.9,248.8,239739.9,-29,-237109.0842,2601.815848,-1844.9,C
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-07-17, 10:17:31",-728,246.9,248.8,179743.2,-29,-173187.111,6527.089064,-1383.2,C
Trades,Data,Order,Stocks,EUR,U18135473,HO,"2025-07-17, 10:18:21",-546,246.9622711,248.8,134841.4,-32.6151,-135376.2132,-567.428347,-1003.4,C
Trades,SubTotal,,Stocks,EUR,HO,,,-3540,,,873895.1,-119.985684,-864300.5504,9474.563969,-6856.9,
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-07-17, 10:16:14",-191,1843,1841,352013,-29,-330479.5419,21504.45808,382,C
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-07-17, 10:17:04",-143,1843.681818,1841,263646.5,-33.343023,-245242.3362,18370.82074,383.5,C
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-07-17, 10:17:31",-108,1842.5,1841,198990,-29,-190572.6729,8388.327054,162,C
Trades,Data,Order,Stocks,EUR,U18135473,RHMd,"2025-07-17, 10:18:21",-81,1842.160494,1841,149215,-29.587475,-149648.994,-463.581457,94,C
Trades,SubTotal,,Stocks,EUR,RHMd,,,-523,,,963864.5,-120.930498,-915943.5451,47800.02441,1021.5,
Trades,Total,,Stocks,EUR,,,,,,,1837759.6,-240.916182,-1780244.095,57274.58838,-5835.4, 
Trades,Total,,Stocks,USD,,,,,,,2131249.808,-279.3904963,-2064549.077,66421.34015,-6767.31338, 
Trades,Data,Order,Stocks,USD,U18135473,AAPL,"2025-07-17, 10:16:14",-345,209.9107,210.02,72419.1915,-0.653465362,-69213.44641,3205.091628,-37.7085,C;IA
Trades,Data,Order,Stocks,USD,U18135473,AAPL,"2025-07-17, 10:17:04",-258,209.711,210.02,54105.438,-0.488678445,-51936.61832,2168.331006,-79.722,C;IA
