Date,Hong Kong MarketValueUSD,Hong Kong Count,United States MarketValueUSD,United States Count,Europe MarketValueUSD,Europe Count
2022-01-03,3383039.67,2,165387294.55,50,,
2022-01-04,3375758.65,2,175782367.78,44,,
2022-01-05,3560266.88,2,171455146.03,44,,
2022-01-06,3544854.35,2,126966985.13,44,,
2022-01-07,2591872.86,2,126001665.13,43,,
2022-01-10,2608559.93,2,126067080.05,44,,
2022-01-11,2603248.45,2,133747610.15,42,,
2022-01-12,2724213.37,2,143497675.17,42,,
2022-01-13,2884680.11,2,148749084.15,42,,
2022-01-14,3043530.98,2,138407708.92,42,,
2022-01-17,2792962.45,2,138424687.00,42,,
2022-01-18,2798066.99,2,129931677.77,51,,
2022-01-19,2748045.05,2,109792670.06,43,606576.53,1.00
2022-01-20,2505283.79,2,109015878.09,42,601380.27,1.00
2022-01-21,2499502.20,2,106868884.01,42,587681.69,1.00
2022-01-24,2367834.16,2,101910931.34,48,535617.38,1.00
