Date,Hong Kong MarketValueUSD,Hong Kong Count,Japan MarketValueUSD,Japan Count,Singapore MarketValueUSD,Singapore Count,United States MarketValueUSD,United States Count
2025-01-03,15504491.82,18.00,473344.00,2.00,3021056.10,3.00,180202779.41,98
2025-01-06,15458247.26,18.00,470326.50,2.00,3031922.25,3.00,181682433.66,102
2025-01-07,15394794.12,20.00,479209.50,2.00,3026557.00,3.00,178548894.65,99
2025-01-08,15237290.23,20.00,472594.50,2.00,3030409.50,3.00,178278174.71,98
2025-01-09,15240702.35,20.00,466074.00,2.00,3000664.80,3.00,178364625.76,98
2025-01-10,15079926.47,21.00,455458.50,2.00,2956865.05,3.00,176625778.35,97
2025-01-13,15042228.41,23.00,455458.50,2.00,2954677.75,3.00,174837869.96,83
2025-01-14,15322874.20,24.00,449001.00,2.00,2961594.60,3.00,175189014.92,72
2025-01-15,15381236.14,24.00,456576.00,2.00,2777505.50,3.00,178714977.75,78
2025-01-16,15562103.57,24.00,452192.00,2.00,2787807.10,3.00,179175612.62,76
2025-01-17,15570768.94,24.00,452480.00,2.00,2780585.85,3.00,180664040.33,100
2025-01-20,15830064.20,27.00,462784.00,2.00,2803951.90,3.00,180664040.33,81
2025-01-21,15959112.13,28.00,461280.00,2.00,2808610.90,3.00,182687199.97,103
2025-01-22,15677048.53,30.00,475552.00,2.00,2775603.60,3.00,183437912.14,119
2025-01-23,15620169.24,30.00,487328.00,2.00,2794776.45,3.00,183869806.30,115
2025-01-24,15910804.55,30.00,487680.00,2.00,2816705.35,3.00,182760836.89,115
2025-01-27,0.00,29.00,0.00,2.00,0.00,3.00,0.00,96
2025-01-28,,,,,,,349.93,3
2025-01-29,,,,,,,123918.45,11
2025-01-30,,,,,,,124949.83,6
2025-01-31,,,,,,,120320.50,9
2025-02-03,,,,,,,63511677.22,5
2025-02-04,,,,,,,63526339.46,5
2025-02-05,,,,,,,63532587.94,7
2025-02-06,,,,,,,63549090.20,6
2025-02-07,,,,,,,63569210.28,6
2025-02-10,,,,,,,62769149.03,4
2025-02-11,,,,,,,62769143.83,2
