Date,Hong Kong MarketValueUSD,Hong Kong Count,Singapore MarketValueUSD,Singapore Count,United States MarketValueUSD,United States Count,Australia MarketValueUSD,Australia Count
2025-06-02,6599334.98,12,1047166.98,1,113406826.61,35,,
2025-06-03,6897117.60,12,1215984.00,1,119347501.10,38,,
2025-06-04,7183944.59,12,1574584.83,1,122913387.76,38,,
2025-06-05,7233444.58,12,1575745.02,1,124978356.75,40,,
2025-06-06,7269501.32,12,1574575.20,1,124826738.09,40,,
2025-06-09,7541107.94,12,1591376.67,1,113829941.21,40,,
2025-06-10,7705252.64,12,1754529.00,1,144429500.14,40,,
2025-06-11,8509667.72,13,1746564.75,1,144776689.29,40,,
2025-06-12,8900042.97,13,1746597.00,1,156326798.57,47,86801.36,1.00
2025-06-13,8890252.28,12,1733994.50,1,167712300.56,47,90656.21,1.00
2025-06-16,8919995.09,12,1724668.80,1,177252949.33,48,83648.12,1.00
2025-06-17,9360102.20,12,3298974.64,3,176387935.91,48,84277.37,1.00
2025-06-18,9262462.84,12,3290828.16,3,180418648.35,48,83052.24,1.00
2025-06-19,12081146.45,14,3248511.13,3,180418648.35,48,81891.32,1.00
2025-06-20,12249551.41,14,3267809.91,3,186115088.16,50,82059.48,1.00
