Date,Hong Kong MarketValueUSD,Hong Kong Count,Singapore MarketValueUSD,Singapore Count,United States MarketValueUSD,United States Count,Australia MarketValueUSD,Australia Count,Europe MarketValueUSD,Europe Count
2025-06-02,6599334.98,12,1047166.98,1,113406826.61,35,,,,
2025-06-03,6897117.60,12,1215984.00,1,119347501.10,38,,,,
2025-06-04,7183944.59,12,1574584.83,1,122913387.76,38,,,,
2025-06-05,7233444.58,12,1575745.02,1,124978356.75,40,,,,
2025-06-06,7269501.32,12,1574575.20,1,124826738.09,40,,,,
2025-06-09,7541107.94,12,1591376.67,1,113829941.21,40,,,,
2025-06-10,7705252.64,12,1754529.00,1,144429500.14,40,,,,
2025-06-11,8509667.72,13,1746564.75,1,144776689.29,40,,,,
2025-06-12,8900042.97,13,1746597.00,1,156326798.57,47,86801.36,1.00,,
2025-06-13,8890252.28,12,1733994.50,1,167712300.56,47,90656.21,1.00,,
2025-06-16,8919995.09,12,1724668.80,1,177252949.33,48,83648.12,1.00,,
2025-06-17,9360102.20,12,3298974.64,3,176387935.91,48,84277.37,1.00,,
2025-06-18,9262462.84,12,3290828.16,3,180418648.35,48,83052.24,1.00,,
2025-06-19,12081146.45,14,3248511.13,3,180418648.35,48,81891.32,1.00,,
2025-06-20,12249551.41,14,3267809.91,3,186115088.16,50,82059.48,1.00,,
2025-06-23,12360746.12,14,3248397.06,3,142208045.84,53,79611.05,1.00,1163532.73,2.00
2025-06-24,12539673.69,14,3285396.30,3,151284742.18,55,79671.24,1.00,1605780.10,2.00
2025-06-25,12715060.82,14,3299741.40,3,154705118.17,55,0.00,1.00,1652758.36,2.00
2025-06-26,13223261.32,15,3382677.36,3,156452770.02,56,,,3184292.12,2.00
2025-06-27,17410180.79,15,3394533.85,3,160568373.73,58,,,3064493.80,2.00
2025-06-30,19870086.25,16,3408738.19,3,166087872.57,57,,,3147018.31,2.00
2025-07-01,19870086.25,16,3424803.44,3,168649683.55,70,,,2985011.69,2.00
2025-07-02,20065966.28,16,3454518.88,3,184348136.16,65,,,3020126.57,2.00
2025-07-03,21832140.52,16,3471967.52,3,198097856.49,68,,,3012524.71,2.00
2025-07-04,22486997.66,16,3469964.11,3,198097856.49,66,,,3075684.38,2.00
2025-07-07,22832088.58,16,3494598.64,3,197380989.39,69,,,3123762.78,2.00
2025-07-08,23151920.18,16,3523080.15,3,205883668.68,67,,,3139183.73,2.00
2025-07-09,22762108.28,16,3522456.37,3,199847542.45,68,,,3176091.02,2.00
2025-07-10,23023934.14,16,3541179.69,3,199796666.38,64,,,3147256.94,2.00
2025-07-11,23119995.01,16,3527245.92,3,187044232.65,64,,,3168110.18,2.00
2025-07-14,23186861.66,16,3556222.80,3,187749613.40,62,,,3218563.17,2.00
2025-07-15,24043022.79,17,3563832.17,3,193130143.68,62,,,3115294.79,2.00
2025-07-16,24071403.69,17,3591881.43,3,193752263.16,64,,,3106644.42,2.00
2025-07-17,23886647.44,17,3608126.21,3,77262778.75,63,,,992290.11,2.00
2025-07-18,24075209.89,17,3632435.32,3,77789534.08,64,,,996460.97,2.00
2025-07-21,25066914.42,17,5408503.10,5,81581284.72,64,,,988872.48,2.00
2025-07-22,25061341.43,17,5419855.98,5,81340700.55,69,,,971230.44,2.00
2025-07-23,27469363.74,18,5475760.48,5,86481094.85,69,,,968010.55,2.00
2025-07-24,27540506.20,18,5542091.46,5,86698962.77,69,,,957593.67,2.00
2025-07-25,28080614.42,19,5499166.64,5,87086655.75,69,,,957402.87,2.00
2025-07-28,28154607.83,18,7006592.46,5,92224703.08,69,,,909097.60,2.00
2025-07-29,28214161.97,18,8016904.36,5,96807268.87,69,,,933663.66,2.00
2025-07-30,29583754.54,18,8683302.68,6,88214509.08,69,,,920151.52,2.00
2025-07-31,29146895.85,18,8659691.03,6,87653607.40,75,,,923101.71,2.00
2025-08-01,28776908.67,18,8628958.59,6,86820635.76,94,,,698029.83,2.00
2025-08-04,31909182.91,18,9309886.93,6,146369307.85,96,,,710667.18,2.00
2025-08-05,33856251.37,18,10396328.67,6,164113266.00,102,,,712268.66,2.00
2025-08-06,33773209.51,18,10447087.48,6,173938245.21,112,,,722889.68,2.00
2025-08-07,33064084.55,18,6615273.53,6,169004182.68,117,,,682356.24,2.00
2025-08-08,34299876.28,19,6695422.88,6,77572008.66,110,,,673432.08,2.00
2025-08-11,27406733.64,19,5739637.61,6,71909377.96,87,,,0.00,2.00
