"ClientAccountID","CurrencyPrimary"
"U8251256","BASE_SUMMARY"
"U8251256","CAD"
"U8251256","CHF"
"U8251256","EUR"
"U8251256","HKD"
"U8251256","JPY"
"U8251256","MXN"
"U8251256","SEK"
"U8251256","SGD"
"U8251256","USD"
"Date/Time","FromCurrency","ToCurrency","Rate"
"20250902","CHF","USD","1.243"
"20250902","MXN","USD","0.053415"
"20250902","QAR","USD","0.27433"
"20250902","SAR","USD","0.26651"
"20250902","ZAR","USD","0.056519"
"20250902","INR","USD","0.011364"
"20250902","THB","USD","0.030906"
"20250902","CNY","USD","0.14007"
"20250902","AUD","USD","0.65204"
"20250902","KRW","USD","0.00071643"
"20250902","ILS","USD","0.29618"
"20250902","JPY","USD","0.0067408"
"20250902","PLN","USD","0.27316"
"20250902","GBP","USD","1.3394"
"20250902","IDR","USD","0.000060976"
"20250902","HUF","USD","0.0029447"
"20250902","KWD","USD","3.2692"
"20250902","PHP","USD","0.017412"
"20250902","TRY","USD","0.024308"
"20250902","RUB","USD","0.012415"
"20250902","AED","USD","0.27226"
"20250902","HKD","USD","0.12809"
"20250902","TWD","USD","0.032505"
"20250902","EUR","USD","1.1641"
"20250902","DKK","USD","0.15599"
"20250902","CAD","USD","0.72555"
"20250902","MYR","USD","0.23641"
"20250902","BGN","USD","0.59523"
"20250902","NOK","USD","0.099624"
"20250902","RON","USD","0.22917"
"20250902","RUS","USD","0.012415"
"20250902","SGD","USD","0.77613"
"20250902","OMR","USD","2.5975"
"20250902","CZK","USD","0.047561"
"20250902","SEK","USD","0.10571"
"20250902","NZD","USD","0.58657"
"20250902","CNH","USD","0.14009"
"20250902","BRL","USD","0.18299"
"20250902","BHD","USD","2.6526"
