Symbol,Quantity,AvgPrice
AAPL,-25,201.39
APP,-37,324.96
AVEM,-6100,66.58
BABA,-5425,112.37
BRK B,-1775,486.89
BWXT,-3000,142.65
CEG,-1500,314.29
CME,-925,272.09
COIN,-1750,312.97
CRWD,-1000,478.05
CSCO,-3750,67.04
CTAS,-3500,219.8
DAX,-6675,43.32
DG,-3000,113.7
EBND,-119497,20.94
EFA,-8900,86.41
EWW,-16250,57.85
EWZ,-29200,27.63
EXC,-13421,43.1
GEV,-825,490.26
HO,2029,246.03
IAUM,-88750,33.7
IBIT,-8400,57.75
ICE,-1500,179.48
IOT,13000,38.73
JPIB,-11273,48.3
KO,-10775,69.6
LTBR,-27250,13.13
MELI,-425,2439.18
MSTR,-2050,364.31
NDAQ,-5000,87.02
NOW,-25,979.55
NVDA,-5075,143.85
NVO,8000,69.44
OKLO,-5750,57.3
PANW,-1875,201.54
PLTR,-3250,140.7
PM,-16752,184.25
QQQ,-25,529.92
RHMd,290,1730.0
RTX,-1000,146.2
SGOV,-69325,100.61
SHYG,-29004,42.78
SMR,-10000,39.3
SPLV,-275,72.24
STZ,-337,163.09
TAIL,-73663,12.08
TLT,-73000,87.16
TQQQ,-49626,74.0
TSLA,-3250,352.38
TSM,100,207.43
USMV,-25,92.3
USO,-8000,82.0
VST,-1700,184.21
VTIP,-50,50.19
