Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
LLY,STK,584.86,639,585,-54,-8.451,0.412,342184.1
CEG,STK,112.03,3304,3054,-250,-7.567,0.412,342184.1
GE,STK,111.2,3296,3077,-219,-6.644,0.412,342184.1
MCK,STK,453,823,755,-68,-8.262,0.412,342184.1
BRK B,STK,336,1095,1018,-77,-7.032,0.412,342184.1
PANW,STK,244.79,1489,1398,-91,-6.111,0.412,342184.1
INTC,STK,32.65,7929,10480,2551,32.173,0.412,342184.1
CMCSA,STK,43.15,8614,7930,-684,-7.941,0.412,342184.1
CME,STK,214.08,1734,1598,-136,-7.843,0.412,342184.1
VRTX,STK,363.04,1005,943,-62,-6.169,0.412,342184.1
COR,STK,189.12,1962,1809,-153,-7.798,0.412,342184.1
SMH,STK,138.24,2577,2475,-102,-3.958,0.412,342184.1
AAPL,STK,168.97,2136,2025,-111,-5.197,0.412,342184.1
FTNT,STK,55.52,6550,6163,-387,-5.908,0.412,342184.1
DLR,STK,116.96,3154,2926,-228,-7.229,0.412,342184.1
SGEN,STK,216.64,1708,1580,-128,-7.494,0.412,342184.1
CMG,STK,1841.87,204,186,-18,-8.824,0.412,342184.1
QQQ,STK,346.66,168508,155819,-12689,-7.53,65,54016205.59
URNM,STK,45.95,7198,6028,-1170,-16.255,0.333,277006.15
CANE,STK,15.32,19970,18081,-1889,-9.459,0.333,277006.15
GSG,STK,21.98,13967,12603,-1364,-9.766,0.333,277006.15
PSQ,STK,11.3,0,1103122,1103122,Inf,15,12465278.21
SH,STK,14.98,0,277376,277376,Inf,5,4155092.74
STIP,STK,96.93,4086,4287,201,4.919,0.5,415509.27
VCIT,STK,74.26,2859,2859,0,-2.134,0.25,207754.64
CWB,STK,65.33,3189,3189,0,-0.282,0.25,207754.64
JPST,STK,50.16,157970,0,-157970,-100,0,0
BIL,STK,91.78,86397,0,-86397,-100,0,0
IAU,STK,37.69,10595,11024,429,4.049,0.5,415509.27
XBTF,STK,33.74,14761,12315,-2446,-16.571,0.5,415509.27
,,,,,,,,
,,,,,,,2.576,78946761.78
