Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
LLY,STK,584.86,639,595,-44,-6.886,0.412,348200.94
CEG,STK,112.03,3304,3108,-196,-5.932,0.412,348200.94
GE,STK,111.2,3296,3131,-165,-5.006,0.412,348200.94
MCK,STK,453,823,769,-54,-6.561,0.412,348200.94
BRK B,STK,336,1095,1036,-59,-5.388,0.412,348200.94
PANW,STK,244.79,1489,1422,-67,-4.5,0.412,348200.94
INTC,STK,32.65,7929,10665,2736,34.506,0.412,348200.94
CMCSA,STK,43.15,8614,8070,-544,-6.315,0.412,348200.94
CME,STK,214.08,1734,1626,-108,-6.228,0.412,348200.94
VRTX,STK,363.04,1005,959,-46,-4.577,0.412,348200.94
COR,STK,189.12,1962,1841,-121,-6.167,0.412,348200.94
SMH,STK,138.24,2577,2577,0,-2.251,0.412,348200.94
AAPL,STK,168.97,2136,2061,-75,-3.511,0.412,348200.94
FTNT,STK,55.52,6550,6272,-278,-4.244,0.412,348200.94
DLR,STK,116.96,3154,2977,-177,-5.612,0.412,348200.94
SGEN,STK,216.64,1708,1607,-101,-5.913,0.412,348200.94
CMG,STK,1841.87,204,189,-15,-7.353,0.412,348200.94
QQQ,STK,346.66,168508,158559,-9949,-5.904,65,54966006.26
URNM,STK,45.95,7198,6134,-1064,-14.782,0.333,281876.93
CANE,STK,15.32,19970,18399,-1571,-7.867,0.333,281876.93
GSG,STK,21.98,13967,12824,-1143,-8.184,0.333,281876.93
PSQ,STK,11.3,0,1347023,1347023,Inf,18,15221355.58
SH,STK,14.98,0,112901,112901,Inf,2,1691261.73
STIP,STK,96.93,4086,4362,276,6.755,0.5,422815.43
VCIT,STK,74.26,2859,2859,0,-0.42,0.25,211407.72
CWB,STK,65.33,3189,3189,0,1.474,0.25,211407.72
JPST,STK,50.16,157970,0,-157970,-100,0,0
BIL,STK,91.78,86397,0,-86397,-100,0,0
IAU,STK,37.69,10595,11218,623,5.88,0.5,422815.43
XBTF,STK,33.74,14761,12532,-2229,-15.101,0.5,422815.43
,,,,,,,,
,,,,,,,2.621,80334932.07
