Drill Down,Daily P&L,Financial Instrument,Position,Market Value,Avg Price,Company Name,Trading Currency,Last,Unrealized P&L,Change %,
,"3,060",700 SEHK,"15,300","5,771,160",313.93,TENCENT HOLDINGS LTD,HKD,377.40,"968,069",0.0010610079575597722,
,"772,200",857 SEHK,"2,860,000","22,708,400",6.199,PETROCHINA CO LTD-H,HKD,7.94,"4,979,387",0.03520208604954374,
,"2,126,462",883 SEHK,"2,562,000","52,392,902",16.237,CNOOC LTD,HKD,20.45,"10,796,262",0.04230377166156974,
,"61,721",000921 SEHKSZSE,"34,100","1,415,150",41.212,HISENSE HOME APPLIANCES G-A,CNH,41.50,"9,853",0.04560342655580757,
,"60,000",921 SEHK,"24,000","909,600",32.965,HISENSE HOME APPLIANCES GR-H,HKD,37.90,"118,461",0.07062146892655367,
,0,1288 SEHK,"2,325,000","8,858,250",3.384,AGRICULTURAL BANK OF CHINA-H,HKD,3.80,"991,816",'-0.0026246719160104427,
,"31,440",2020 SEHK,"104,800","9,138,560",89.572,ANTA SPORTS PRODUCTS LTD,HKD,87.20,"'-248,499",0.0034522439585730398,
,"46,890",2823 SEHK,"468,900","6,048,810",12.848,ISHARES FTSE CHINA A50 E-HKD,HKD,12.90,"24,683",0.007812499999999972,
,"439,319",2828 SEHK,"523,000","35,428,019",59.56,HANGSENG CHINA ENT INDEX-HKD,HKD,67.74,"4,278,368",0.012556053811659031,
,"788,799",2899 SEHK,"1,360,000","24,561,599",17.161,ZIJIN MINING GROUP CO LTD-H,HKD,18.06,"1,223,992",0.03318077803203651,
,"4,680",9888 SEHK,"15,600","1,531,920",108.44,BAIDU INC-CLASS A,HKD,98.10,"'-159,738",0.002042900919305443,
,"24,200",9988 SEHK,"22,000","1,743,500",82.701,ALIBABA GROUP HOLDING LTD,HKD,79.25,"'-75,911",0.0140754958413307,
,"'-4,977",600519 SEHKNTL,900,"1,504,395",1796.312,KWEICHOW MOUTAI CO LTD-A,CNH,1671.50,"'-112,286",'-0.003327211582035399,
,"17,176",600690 SEHKNTL,"22,600","696,532",31.376,HAIER SMART HOME CO LTD-A,CNH,30.82,"'-12,547",0.02528276779773779,
,"90,827",COWZ,"267,138","14,705,947",56.908,PACER US CASH COWS 100 ETF,USD,55.05,"'-496,324",0.0062145859989033705,
,"18,025",CWB,"38,350","2,769,637",71.115,SPDR BLOOMBERG CONVERTIBLE S,USD,72.22,"42,404",0.006550522648083608,
,862,DBA,"43,084","1,062,021",25.528,INVESCO DB AGRICULTURE FUND,USD,24.65,"'-37,817",0.00081202,
,"60,277",DXJ,"44,650","4,892,300",104.181,WISDOMTREE JAPAN HEDGED EQ,USD,109.57,"240,637",0.012474588800591466,
,"148,276",EPI,"154,454","7,327,298",43.832,WISDOMTREE INDIA EARNINGS,USD,47.44,"557,297",0.020654044750430155,
,"29,600",EWI,"80,000","3,091,200",37.396,ISHARES MSCI ITALY ETF,USD,38.64,"99,570",0.009668147373922065,
,"8,838",EWY,"126,253","8,073,879",64.243,ISHARES MSCI SOUTH KOREA ETF,USD,63.81,"'-36,987",'-0.0010958046336881698,
,"2,306",FPE,"115,300","1,986,619",17.368,FT-PREFERRED SECUR & INC ETF,USD,17.23,"'-15,846",0.0011621150493898648,
,"4,003",GLD,"44,481","9,599,445",192.541,SPDR GOLD SHARES,USD,215.81,"1,035,055",0.00041721,
,864,IAUM,"43,200","1,005,696",23.14,ISHARES GOLD TRUST MICRO,USD,23.28,"6,079",0.00085985,
,"1,051",ISTB,"21,013","991,603",47.69,ISHARES CORE 1-5 YEAR USD BO,USD,47.19,"'-10,500",0.001060670343657131,
,"129,257",IWM,"58,224","11,959,792",207.805,ISHARES RUSSELL 2000 ETF,USD,205.41,"'-139,405",0.010925734534179827,
,"7,216",LQD,"26,725","2,858,506",110.352,ISHARES IBOXX INVESTMENT GRA,USD,106.96,"'-90,643",0.0025306964101603734,
,"124,433",NVDA,"6,540","6,991,260",901.041,NVIDIA CORP,USD,1069.00,"1,098,455",0.029875046965770376,
NoMD,NoMD,NVDA May24'24 1010 CALL,0,NoMD,NoMD,NVIDIA CORP,USD,NoMD,NoMD,NoMD,
NoMD,NoMD,NVDA May24'24 1035 PUT,0,NoMD,NoMD,NVIDIA CORP,USD,NoMD,NoMD,NoMD,
NoMD,NoMD,NVDA May24'24 1045 PUT,0,NoMD,NoMD,NVIDIA CORP,USD,NoMD,NoMD,NoMD,
NoMD,NoMD,NVDA May24'24 1050 PUT,0,NoMD,NoMD,NVIDIA CORP,USD,NoMD,NoMD,NoMD,
,"234,591",QQQ,"54,683","25,042,081",442.401,INVESCO QQQ TRUST SERIES 1,USD,457.95,"850,320",0.009456421108318925,
,"181,330",SMH,"36,485","8,931,163",223.855,VANECK SEMICONDUCTOR ETF,USD,244.79,"763,818",0.020723876240513715,
,"12,521",URNM,"15,270","859,854",51.879,SPROTT URANIUM MINERS ETF,USD,56.31,"67,666",0.014777437376103807,
,"7,049",USHY,"58,743","2,130,609",36.34,ISHARES BROAD USD HIGH YIELD,USD,36.27,"'-4,071",0.003319502074688923,
,"5,810",VCIT,"36,312","2,888,983",80.997,VANGUARD INT-TERM CORPORATE,USD,79.56,"'-52,173",0.0020151133501259016,
,"9,555",XLE,"73,500","6,715,695",95.843,ENERGY SELECT SECTOR SPDR,USD,91.37,"'-328,733",0.0014248136782114167,
,"59,798",XLF,"213,563","8,892,763",41.844,FINANCIAL SELECT SECTOR SPDR,USD,41.64,"'-43,518",0.006769825918762117,
,"85,433",XLK,"60,591","13,014,947",209.359,TECHNOLOGY SELECT SECT SPDR,USD,214.80,"329,702",0.006607619850977068,
,"'-14,454",XLV,"35,254","5,094,203",145.829,HEALTH CARE SELECT SECTOR,USD,144.50,"'-46,831",'-0.0028293423504243778,
