Symbol,SecType,Last_Price,Old position,New position,Change,Weights (%),Target allocation ($)
LB,STK,44.11,9925,9656,-269,0.385,425944.16
ALGN,STK,559.34,765,762,-3,0.385,425944.16
PWR,STK,75.82,5701,5618,-83,0.385,425944.16
DE,STK,302.54,1422,1408,-14,0.385,425944.16
ALB,STK,168,2497,2535,38,0.385,425944.16
SIVB,STK,468.11,910,910,0,0.385,425944.16
DFS,STK,85.33,5036,4992,-44,0.385,425944.16
TT,STK,144.99,2910,2938,28,0.385,425944.16
AES,STK,26,16746,16382,-364,0.385,425944.16
HCA,STK,165.85,2489,2568,79,0.385,425944.16
MHK,STK,145.32,2849,2931,82,0.385,425944.16
GM,STK,53,7944,8037,93,0.385,425944.16
TGT,STK,185.59,2234,2295,61,0.385,425944.16
IVZ,STK,21.39,19414,19913,499,0.385,425944.16
DISCA,STK,40.08,9864,10627,763,0.385,425944.16
QQQ,STK,329.86,73881,74716,835,22.275,24645913.5
ARKK,STK,148.75,18435,18410,-25,2.475,2738435.16
2823,STK,2.77,971300,988605,17305,2.475,2738435.16
IAU,STK,17.5,306072,316125,10053,5,5532193.6
IGIB,STK,61.24,99048,101630,2582,5.625,6223831.34
TN,FUT,153520.1,39,41,2,5.625,6223831.34
UB,FUT,203708.31,30,31,1,5.625,6223831.34
ZB,FUT,168281.25,36,37,1,5.625,6223831.34
ZF,FUT,125850.4,48,49,1,5.625,6223831.34
ZN,FUT,136890.62,44,45,1,5.625,6223831.34
ZT,FUT,220968.73,27,28,1,5.625,6223831.34
CGB,FUT,115281.81,53,54,1,5.625,6223831.34
BTS,FUT,136103.85,44,46,2,5.625,6223831.34
BTP,FUT,182832.53,33,34,1,5.625,6223831.34
GBX,FUT,263659.45,15,16,1,3.749,4148001.06
KE,FUT,30657.71,7,7,0,0.2,221287.69
HG,FUT,88116.62,2,3,1,0.2,221287.69
TSR20,FUT,7880.4,27,28,1,0.2,221287.69
ZS,FUT,67234.98,3,3,0,0.2,221287.69
PA,FUT,223296.88,1,1,0,0.2,221287.69
SCI,FUT,15072.98,15,15,0,0.2,221287.69
ZC,FUT,26850,8,8,0,0.2,221287.69
RB,FUT,68804.4,3,3,0,0.2,221287.69
AH,FUT,48828.56,4,5,1,0.2,221287.69
NI,FUT,105180.1,2,2,0,0.2,221287.69
