Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($),,,,,,,
LB,STK,54.51,10356,11524,1168,11.278,0.385,628154.34,,,,,,,
PWR,STK,83.23,6864,7547,683,9.95,0.385,628154.34,,,,,,,
DE,STK,352.69,1617,1781,164,10.142,0.385,628154.34,,,,,,,
SIVB,STK,508.26,1119,1236,117,10.456,0.385,628154.34,,,,,,,
DFS,STK,97.53,5842,6441,599,10.253,0.385,628154.34,,,,,,,
TT,STK,160.48,3494,3914,420,12.021,0.385,628154.34,,,,,,,
AES,STK,27.2,21767,23094,1327,6.096,0.385,628154.34,,,,,,,
HCA,STK,184.33,3023,3408,385,12.736,0.385,628154.34,,,,,,,
MHK,STK,183.64,3055,3421,366,11.98,0.385,628154.34,,,,,,,
IVZ,STK,24.48,23736,25660,1924,8.106,0.385,628154.34,,,,,,,
DISCA,STK,63.01,8261,9969,1708,20.675,0.385,628154.34,,,,,,,
RF,STK,21.02,26832,29884,3052,11.374,0.385,628154.34,,,,,,,
TPR,STK,43.36,13016,14487,1471,11.301,0.385,628154.34,,,,,,,
FCX,STK,33.85,16581,18557,1976,11.917,0.385,628154.34,,,,,,,
VIAC,STK,79.66,6835,7885,1050,15.362,0.385,628154.34,,,,,,,
QQQ,STK,310.97,102160,110387,8227,8.053,21.038,34326967.75,,,,,,,
ARKK,STK,122.2,32123,33048,925,2.88,2.475,4038469.81,,,,,,,
2823,STK,2.51,1488900,1608952,120052,8.063,2.475,4038469.81,,,,,,,
XACTOMXS3,STK,31.81,58137,63478,5341,9.187,1.238,2019234.9,,,,,,,
IAU,STK,16.31,275008,300128,25120,9.134,3,4895088.02,,,,,,,
IGIB,STK,59.27,151038,165179,14141,9.363,6,9790176.04,,,,,,,
TN,FUT,146084.02,51,34,-17,-33.333,3,4895088.02,,,,,,,
ZB,FUT,157312.5,56,31,-25,-44.643,3,4895088.02,,,,,,,
ZF,FUT,123757.82,72,79,7,9.722,6,9790176.04,,,,,,,
ZN,FUT,132166.52,67,74,7,10.448,6,9790176.04,,,,,,,
ZT,FUT,220703.12,40,44,4,10,6,9790176.04,,,,,,,
BTS,FUT,134484.79,66,73,7,10.606,6,9790176.04,,,,,,,
BTP,FUT,176678.4,50,55,5,10,6,9790176.04,,,,,,,
Z3N,FUT,231919,38,42,4,10.526,6,9790176.04,,,,,,,
3KTB,FUT,96758.64,92,101,9,9.783,6,9790176.04,,,,,,,
KE,FUT,30808.44,16,18,2,12.5,0.333,543898.61,,,,,,,
HG,FUT,101087.2,5,5,0,0,0.333,543898.61,,,,,,,
TSR20,FUT,8850,57,61,4,7.018,0.333,543898.61,,,,,,,
ZS,FUT,71275,7,8,1,14.286,0.333,543898.61,,,,,,,
PA,FUT,228473.5,2,2,0,0,0.333,543898.61,,,,,,,
SCI,FUT,16668.76,29,33,4,13.793,0.333,543898.61,,,,,,,
ZC,FUT,26850,18,20,2,11.111,0.333,543898.61,,,,,,,
RB,FUT,85965.5,6,6,0,0,0.333,543898.61,,,,,,,
AH,FUT,54180,9,10,1,11.111,0.333,543898.61,,,,,,,
NI,FUT,97177.4,5,6,1,20,0.333,543898.61,,,,,,,
HO,FUT,79969.5,6,7,1,16.667,0.333,543898.61,,,,,,,
HE,FUT,35540,14,15,1,7.143,0.333,543898.61,,,,,,,
VIX,FUT,26490,24,37,13,54.167,0.6,979017.6,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,2.834,154357930.7,,,,,,,
