Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
GS,STK,396.93,988,988,0,2.126,0.149,400518.53
EXR,STK,217.65,3648,3648,0,0.877,0.298,801037.07
MAA,STK,220.9,3558,3558,0,1.911,0.298,801037.07
WM,STK,162.85,4934,4934,0,-0.304,0.298,801037.07
PLD,STK,156.57,5038,5038,0,1.548,0.298,801037.07
TMO,STK,620.4,1284,1284,0,0.545,0.298,801037.07
F,STK,24.8,33263,33263,0,-2.895,0.298,801037.07
MMC,STK,166.69,4819,4819,0,-0.27,0.298,801037.07
PKI,STK,181.6,4387,4387,0,0.547,0.298,801037.07
DRE,STK,61.55,12799,12799,0,1.68,0.298,801037.07
PSA,STK,365.34,2196,2196,0,-0.137,0.298,801037.07
AZO,STK,2058,391,391,0,-0.512,0.298,801037.07
DGX,STK,158.34,5049,5049,0,0.198,0.298,801037.07
PG,STK,162.83,4848,4848,0,1.465,0.298,801037.07
EXC,STK,56.73,13943,13943,0,1.269,0.298,801037.07
NEE,STK,86.19,4426,4647,221,4.993,0.149,400518.53
QQQ,STK,385.04,189072,189072,0,0.488,27.17,73155551.8
XLE,STK,60.9,21400,21400,0,-0.593,0.481,1295499.08
PBW,STK,67.07,18842,18842,0,2.516,0.481,1295499.08
2823,STK,2.3,556100,556100,0,1.288,0.481,1295499.08
2800,STK,3.03,432500,432500,0,-1.143,0.481,1295499.08
IJS,STK,106.05,12187,12187,0,0.238,0.481,1295499.08
KSA,STK,41.78,30828,30828,0,0.584,0.481,1295499.08
FM,STK,34.22,37661,37661,0,0.523,0.481,1295499.08
STIP,STK,105.14,126646,126646,0,1.105,5,13462807.89
LTPZ,STK,85.7,46380,46380,0,1.613,1.5,4038842.37
ZN,FUT,128609.39,31,31,0,0,1.5,4038842.37
ZB,FUT,156062.5,26,26,0,0,1.5,4038842.37
UB,FUT,,0,,,,0,0
ZT,FUT,217593.75,61,61,0,1.639,5,13462807.89
Z3N,FUT,226687.51,59,59,0,0,5,13462807.89
CYBA,STK,5.8,1383398,1383398,0,0.673,3,8077684.74
IGLB,STK,68,58870,58870,0,0.892,1.5,4038842.37
GBS,FUT,126646.95,63,63,0,1.587,3,8077684.74
GBX,FUT,230851,17,17,0,0,1.5,4038842.37
BTS,FUT,127681.48,63,63,0,0,3,8077684.74
HYD,STK,62.14,64513,64513,0,0.749,1.5,4038842.37
IAU,STK,34.08,77909,77909,0,1.409,1,2692561.58
RB,FUT,97829.95,19,19,0,0,0.706,1900632.37
ZL,FUT,35502,53,53,0,1.887,0.706,1900632.37
HO,FUT,104878.22,18,18,0,0,0.706,1900632.37
COIL,FUT,82880,23,23,0,0,0.706,1900632.37
GOIL,FUT,71429.22,27,27,0,0,0.706,1900632.37
ZO,FUT,33250,28,29,1,3.571,0.353,950315.91
KC,FUT,87412.55,11,11,0,0,0.353,950315.91
TSR20,FUT,8880,-108,-108,0,-0.926,-0.353,950315.91
ZW,FUT,37000,-25,-26,-1,4,-0.353,950315.91
NG,FUT,38670,-24,-25,-1,4.167,-0.353,950315.91
KE,FUT,37900,-24,-25,-1,4.167,-0.353,950315.91
HE,FUT,33160,-29,-29,0,0,-0.353,950315.91
,,,,,,,,
,,,,,,,3.358,201942068.31
