Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($),,
EXR,STK,195.47,3438,3438,0,1.6,0.298,682770.04,,
MAA,STK,199.19,3312,3428,116,3.502,0.298,682770.04,,
WM,STK,148.01,4448,4613,165,3.71,0.298,682770.04,,
PLD,STK,153.96,4324,4324,0,2.567,0.298,682770.04,,
DRE,STK,56.95,11662,11662,0,2.804,0.298,682770.04,,
PSA,STK,352.5,1902,1902,0,1.84,0.298,682770.04,,
AZO,STK,1930.94,346,346,0,2.312,0.298,682770.04,,
PG,STK,159.75,4151,4151,0,2.963,0.298,682770.04,,
EXC,STK,55.46,11745,12311,566,4.819,0.298,682770.04,,
PEP,STK,172.49,3855,3855,0,2.672,0.298,682770.04,,
SBNY,STK,310.31,2059,2200,141,6.848,0.298,682770.04,,
MCK,STK,245.63,2725,2725,0,2.018,0.298,682770.04,,
TSN,STK,90.29,7473,7473,0,1.191,0.298,682770.04,,
FITB,STK,44.92,14921,14921,0,1.87,0.298,682770.04,,
CHD,STK,101.63,3250,3359,109,3.354,0.149,341385.02,,
HSY,STK,194.77,1677,1753,76,4.532,0.149,341385.02,,
QQQ,STK,351.51,175724,175724,0,0.949,27.169,62354683.83,,
XLE,STK,66.21,17475,16678,-797,-4.561,0.481,1104236.07,,
PBW,STK,55.16,9797,9797,0,2.164,0.241,552118.15,,
EXXX,STK,46.61,11978,11978,0,-1.11,0.241,552118.15,,
2823,STK,2.29,468500,468500,0,2.924,0.481,1104236.07,,
2800,STK,3.13,342000,353000,11000,3.155,0.481,1104236.07,,
IJS,STK,100.53,10623,10984,361,3.398,0.481,1104236.07,,
KSA,STK,44.58,24327,24327,0,1.821,0.481,1104236.07,,
FM,STK,33.69,31865,31865,0,2.859,0.481,1104236.07,,
STIP,STK,105.15,64519,64519,0,1.488,3,6885076.02,,
LTPZ,STK,84.63,39711,39711,0,2.435,1.5,3442538.01,,
ZN,FUT,128078.12,26,27,1,3.846,1.5,3442538.01,,
ZB,FUT,155093.77,22,22,0,0,1.5,3442538.01,,
ZT,FUT,217171.87,31,32,1,3.226,3,6885076.02,,
Z3N,FUT,225992.2,30,30,0,0,3,6885076.02,,
CYBA,STK,5.9,1294884,1166962,-127922,-9.879,3,6885076.02,,
CNYB,STK,5.71,623288,803862,180574,28.971,2,4590050.68,675940,52652
GBX,FUT,230738.57,14,15,1,7.143,1.5,3442538.01,,
BTS,FUT,127495.02,53,53,0,1.887,3,6885076.02,,
HYD,STK,61.06,55251,55251,0,2.043,1.5,3442538.01,,
IAU,STK,35.11,64599,64599,0,1.189,1,2295025.34,,
RB,FUT,104710.22,18,18,0,0,0.842,1932653.69,,
AH,FUT,77678.79,24,25,1,4.167,0.842,1932653.69,,
HO,FUT,111346.18,17,17,0,0,0.842,1932653.69,,
COIL,FUT,87830,22,22,0,0,0.842,1932653.69,,
GOIL,FUT,76555.56,25,25,0,0,0.842,1932653.69,,
ZO,FUT,32125,30,30,0,0,0.421,966326.39,,
KC,FUT,89943.76,21,21,0,0,0.842,1932653.69,,
ZW,FUT,40275,-23,-24,-1,4.348,-0.421,966326.39,,
KE,FUT,41112.48,-23,-24,-1,4.348,-0.421,966326.39,,
SB,FUT,21000,-45,-45,0,2.222,-0.421,966326.39,,
LE,FUT,56070,-17,-17,0,0,-0.421,966326.39,,
NG,FUT,40970.42,-24,-24,0,0,-0.421,966326.39,,
ZM,FUT,39180,-24,-25,-1,4.167,-0.421,966326.39,,
,,,,,,,,,,
,,,,,,,3.001,157209240.2,,
