Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
MCK,STK,363.39,1432,1496,64,4.469,0.333,543521.75
ED,STK,98.89,5106,5496,390,7.638,0.333,543521.75
SRE,STK,168.43,3024,3227,203,6.713,0.333,543521.75
BMY,STK,72.41,6889,7506,617,8.956,0.333,543521.75
LMT,STK,434.5,1196,1251,55,4.599,0.333,543521.75
NOC,STK,489.1,1052,1111,59,5.608,0.333,543521.75
HSY,STK,233.39,2185,2329,144,6.59,0.333,543521.75
MRK,STK,90.25,5637,6022,385,6.83,0.333,543521.75
HUM,STK,495.55,1031,1097,66,6.402,0.333,543516.37
K,STK,76.1,6670,7142,472,7.076,0.333,543516.37
ADM,STK,88.64,5772,6132,360,6.237,0.333,543516.37
CTVA,STK,62.1,8227,8752,525,6.381,0.333,543516.37
SO,STK,78.87,6459,6891,432,6.688,0.333,543516.37
AEP,STK,102.8,5041,5287,246,4.88,0.333,543516.37
CNC,STK,95.62,5332,5684,352,6.602,0.333,543516.37
QQQ,STK,317.12,148713,154254,5541,3.726,30,48916962.14
XLE,STK,83.47,46269,48837,2568,5.55,2.5,4076413.51
XLU,STK,76.6,49614,53217,3603,7.262,2.5,4076413.51
SHYD,STK,22.79,55701,59623,3922,7.041,0.833,1358804.45
FMB,STK,50.85,24903,26722,1819,7.304,0.833,1358804.45
FPE,STK,17.72,72916,76682,3766,5.165,0.833,1358804.45
HYG,STK,76.47,17094,17769,675,3.949,0.833,1358804.45
ZB,FUT,136000,9,10,1,11.111,0.833,1358804.45
CGB,FUT,96664.92,13,14,1,7.692,0.833,1358804.45
GBL,FUT,150407.67,9,9,0,0,0.833,1358804.45
GBX,FUT,168637,8,8,0,0,0.833,1358804.45
OAT,FUT,139945.22,9,10,1,11.111,0.833,1358804.45
BTP,FUT,122025.27,11,11,0,0,0.833,1358804.45
IGLB,STK,53.45,24368,25422,1054,4.325,0.833,1358804.45
IGIB,STK,51.41,25384,26431,1047,4.125,0.833,1358804.45
IAU,STK,33.47,46948,48717,1769,3.768,1,1630565.4
NG,FUT,,0,,,,0,0
PA,FUT,206580,4,4,0,0,0.556,905869.74
HE,FUT,36230.74,23,25,2,8.696,0.556,905869.74
LE,FUT,57510,15,16,1,6.667,0.556,905869.74
ZM,FUT,42520,20,21,1,5,0.556,905869.74
GF,FUT,92464,9,10,1,11.111,0.556,905869.74
PB,FUT,49850,17,18,1,5.882,0.556,905869.74
ZSLME,FUT,90337.5,10,10,0,0,0.556,905869.74
ZL,FUT,39594,21,23,2,9.524,0.556,905869.74
,,,,,,,,
,,,,,,,2.321,90405754.47
