Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,Account,Algo allowPastEndTime,Algo startTime,Algo endTime,Algo strategy,LastTradingDayOrContractMonth,Multiplier
SELL,3177,CMCSA,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,710,AAPL,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,359,MSFT,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,987,GOOGL,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,1689,DAL,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,123,ASML,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,332,HD,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,676,DHI,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,820,MRK,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,40364,SOXL,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,125350,TNA,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,63173,UPRO,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,22610,SPXL,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,19812,UDOW,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,45667,QQQ,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,17178,TQQQ,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,31890,VCIT,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,36425,CWB,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,26219,TLT,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,140757,TMF,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,8636,MCD,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,23292,LQD,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,57250,USHY,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,778,XBTF,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
SELL,263,COIN,STK,SMART/AMEX,USD,DAY,MKT,U8251256,FALSE,09:30:05 EST,15:59:30 EST,Vwap,,
