Symbol,SecType,Last_Price,Old position,New position,Change,Change (%),Weights (%),Target allocation ($)
XLV,STK,146.51,47005,47005,0,-0.887,3.265,6825542.06
XLE,STK,92.08,98000,98000,0,1.91,4.399,9196189.75
XLF,STK,41.98,406787,406787,0,-0.634,8.117,16968736.58
XLK,STK,216.85,80788,80788,0,-1.803,8.229,17202874.62
SMH,STK,243.43,52121,50127,-1994,-3.826,5.837,12202354.98
NVDA,STK,1016.31,,,,,4.231,8844982.69
COWZ,STK,55.13,267138,267138,0,0.84,7.104,14851041.6
IWM,STK,207.04,58224,58224,0,0.115,5.773,12068561.82
600519,STK,234.76560332871,900,900,0,-0.111,0.101,211142.34
600690,STK,4.16782246879334,22600,22600,0,-0.128,0.045,94073.32
921,STK,4.4693094629156,24000,41630,17630,73.458,0.089,186056.12
700,STK,48.7468030690537,15300,15300,0,0.065,0.357,746315.01
9988,STK,10.0447570332481,22000,23500,1500,6.9,0.113,236228.56
9888,STK,12.6918158567775,15600,16100,500,3.474,0.098,204870.79
857,STK,0.9846547314578,2860000,2860000,0,-0.303,1.343,2807566
883,STK,2.46035805626598,2562000,2562000,0,-0.837,2.99,6250649.55
2828,STK,8.68286445012788,523000,523000,0,1.139,2.197,4592868.58
2823,STK,1.65856777493606,468900,468900,0,0.265,0.373,779763.3
2020,STK,11.1764705882353,104800,104800,0,-0.052,0.56,1170690.22
1288,STK,0.485933503836317,2325000,2325000,0,0.289,0.542,1133060.89
921,STK,4.4693094629156,24000,24000,0,1.346,0.052,108706.95
2899,STK,2.23529411764706,1360000,1432775,72775,5.351,1.532,3202673.95
EPI,STK,46.2,143754,143754,0,-1.32,3.135,6553774.69
EWI,STK,38.43,80000,80000,0,0.296,1.475,3083514.41
EWY,STK,64.54,240482,240482,0,0.534,7.464,15603628.16
DXJ,STK,108.68,39150,39150,0,1.017,2.056,4298105.51
QQQ,STK,459.65,72911,72911,0,-1.666,15.764,32954929.58
URNM,STK,56.48,15270,15805,535,3.504,0.427,892651.29
DBA,STK,24.11,22884,22884,0,-2.242,0.258,539353.71
VCIT,STK,79.67,36312,36312,0,-0.496,1.377,2878643.62
CWB,STK,72.43,38350,38350,0,-0.052,1.328,2776208.23
LQD,STK,107.16,26725,26725,0,-0.58,1.362,2847285.85
USHY,STK,36.27,78324,78324,0,-0.361,1.354,2830561.7
FPE,STK,17.29,115300,115300,0,-0.378,0.95,1985992.33
ISTB,STK,47.23,21013,21013,0,-0.576,0.472,986724.61
GLD,STK,218.01,44481,44481,0,2.032,4.733,9894422.84
IAUM,STK,23.59,43200,43200,0,1.954,0.497,1038987.57
,,,,,,,,
,,,,,,,3.718,209049733.78
