Symbol,Currency,SecType,Exchange,LastTradingDayOrContractMonth,Multiplier,Algo.startTime,Algo.endTime,Last_Price,Weights, NAV ,Leverage
CMG,USD,STK,SMART/AMEX,,,,,,0.82,59394922.76,3.78
COWZ,USD,STK,SMART/AMEX,,,,,,4.8,,
CWB,USD,STK,SMART/AMEX,,,,,,1.21,,
DBA,USD,STK,SMART/AMEX,,,,,,0.45,,
DXJ,USD,STK,SMART/AMEX,,,,,,2.21,,
EPI,USD,STK,SMART/AMEX,,,,,,3.27,,
EWI,USD,STK,SMART/AMEX,,,,,,1.26,,
EWY,USD,STK,SMART/AMEX,,,,,,3.54,,
FPE,USD,STK,SMART/AMEX,,,,,,0.88,,
GLD,USD,STK,SMART/AMEX,,,,,,5.32,,
IAUM,USD,STK,SMART/AMEX,,,,,,0.44,,
ISTB,USD,STK,SMART/AMEX,,,,,,0.44,,
IWM,USD,STK,SMART/AMEX,,,,,,5.17,,
LQD,USD,STK,SMART/AMEX,,,,,,1.25,,
MCD,USD,STK,SMART/AMEX,,,,,,0.74,,
NVDA,USD,STK,SMART/AMEX,,,,,,10.58,,
QQQ,USD,STK,SMART/AMEX,,,,,,13.19,,
SMH,USD,STK,SMART/AMEX,,,,,,8.58,,
USHY,USD,STK,SMART/AMEX,,,,,,0.93,,
VCIT,USD,STK,SMART/AMEX,,,,,,1.27,,
XLE,USD,STK,SMART/AMEX,,,,,,3.89,,
XLF,USD,STK,SMART/AMEX,,,,,,3.85,,
XLK,USD,STK,SMART/AMEX,,,,,,6,,
XLV,USD,STK,SMART/AMEX,,,,,,2.08,,
XME,USD,STK,SMART/AMEX,,,,,,1.59,,
