Symbol,Currency,SecType,Exchange,LastTradingDayOrContractMonth,Multiplier,Algo.startTime,Algo.endTime,Last_Price,Weights,NAV,Leverage
NRG,USD,STK,SMART/AMEX,,,,,86.00,0.003333333,,
WAB,USD,STK,SMART/AMEX,,,,,169.7,0.003333333,,
LDOS,USD,STK,SMART/AMEX,,,,,151.15,0.003333333,,
HWM,USD,STK,SMART/AMEX,,,,,84.72,0.003333333,,
TT,USD,STK,SMART/AMEX,,,,,337.92,0.003333333,,
CMG,USD,STK,SMART/AMEX,,,,,3151.63,0.003333333,,
GE,USD,STK,SMART/AMEX,,,,,167.33,0.003333333,,
TDG,USD,STK,SMART/AMEX,,,,,1350.31,0.003333333,,
AXP,USD,STK,SMART/AMEX,,,,,238.18,0.003333333,,
C,USD,STK,SMART/AMEX,,,,,63.58,0.003333333,,
IR,USD,STK,SMART/AMEX,,,,,95.5,0.003333333,,
BSX,USD,STK,SMART/AMEX,,,,,75.63,0.003333333,,
RCL,USD,STK,SMART/AMEX,,,,,148.43,0.003333333,,
BX,USD,STK,SMART/AMEX,,,,,123.64,0.003333333,,
GS,USD,STK,SMART/AMEX,,,,,461.18,0.003333333,,
QQQ,USD,STK,SMART/AMEX,,,,,,0.3,,
EWI,USD,STK,SMART/AMEX,,,,,,0.025,,
XLF,USD,STK,SMART/AMEX,,,,,,0.025,,
FPE,USD,STK,SMART/AMEX,,,,,,0.0125,,
USHY,USD,STK,SMART/AMEX,,,,,,0.0125,,
STIP,USD,STK,SMART/AMEX,,,,,99.32,0.0125,,
HYG,USD,STK,SMART/AMEX,,,,,77.09,0.0125,,
IGSB,USD,STK,SMART/AMEX,,,,,51.06,0.0125,,
CWB,USD,STK,SMART/AMEX,,,,,,0.0125,,
CYBA,USD,STK,SMART/AMEX,,,,,5.6447,0.0125,,
ISTB,USD,STK,SMART/AMEX,,,,,47.19,0.0125,,
AH,USD,FUT,COMEX,,25,,,65450,0.005555556,,
HG,USD,FUT,COMEX,,25000,,,119037.5,0.005555556,,
SCI,USD,FUT,SGX,,100,,,11912,0.005555556,,
NG,USD,FUT,NYMEX,,10000,,,28250,0.005555556,,
SI,USD,FUT,COMEX,,5000,,,154900,0.005555556,,
ZSMLM,USD,FUT,LMEOTC,,25,,,76500,0.005555556,,
KE,USD,FUT,CBOT,,5000,,,3625000,0.005555556,,
ZW,USD,FUT,CBOT,,5000,,,3513750,0.005555556,,
DA,USD,FUT,CME,,2000,,,37160,0.005555556,,
GLD,USD,STK,SMART/AMEX,,,,,,0.01,,
