Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Summary
Statement,Data,Period,"July 25, 2025"
Statement,Data,WhenGenerated,"2025-07-27, 21:20:12 EDT"
Disclaimer,Header,Field Name,Field Value
Disclaimer,Data,Disclaimer,"This Activity Summary is provided as a convenience to customers who have accounts with multiple Interactive Brokers companies in multiple jurisdictions. Positions and cash shown on this Activity Summary may be held at different Interactive Brokers companies in different countries, subject to different regulatory rules and protections. This Activity Summary does not serve as your formal customer statement. Customer statements for each IB company are available under Account Management when you log in to the IB website."
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256 (Custom Consolidated)
Account Information,Data,Accounts Included,"U18135473, U18135473F, U8251256, U8251256F"
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,-46501121.624309994,7987.713887872,-47278998.29149589,-47271010.57760802,-769888.953298025
Net Asset Value,Data,Stock,120737932.94225001,121624459.87902,0,121624459.87902,886526.936769992
Net Asset Value,Data,Options,-58650.4,352538.14,-393418.88,-40880.74,17769.66
Net Asset Value,Data,Interest Accruals,-325012.7881865,337448.7762375,-666315.2187098,-328866.4424723,-3853.6542858
Net Asset Value,Data,Dividend Accruals,270480.2390367,270122.320722,0,270122.320722,-357.9183147
Net Asset Value,Data,Total,74123628.36879021,122592556.82986738,-48338732.39020569,74253824.43966168,130196.070871472
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.175647191%
Change in Combined NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,74123628.36879021
Change in NAV,Data,Mark-to-Market,140489.33748229
Change in NAV,Data,Dividends,537.53
Change in NAV,Data,Withholding Tax,-161.26
Change in NAV,Data,Change in Dividend Accruals,-376.27
Change in NAV,Data,Change in Interest Accruals,-3870.9319243
Change in NAV,Data,Commissions,-2371.067818938
Change in NAV,Data,Transaction Fees,-4086.896191378
Change in NAV,Data,Other FX Translations,35.6293238
Change in NAV,Data,Ending Value,74253824.43966168
Change in NAV,Disclaimer,"This section shows your combined total cash position, and these totals may include cash held at multiple Interactive Brokers companies in different jurisdictions subject to different regulatory protections. Please refer to your separate customer statements from each IB company to see the exact positions held at each company."
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,1109,300000,300000,29.6000,29.9500,13377,0,0,0,13377,
Mark-to-Market Performance Summary,Data,Stocks,1288,9206000,9206000,5.3400,5.2500,-105555.996,0,0,0,-105555.996,
Mark-to-Market Performance Summary,Data,Stocks,1398,3852000,3852000,6.1500,6.0900,-29444.688,0,0,0,-29444.688,
Mark-to-Market Performance Summary,Data,Stocks,1810,100000,100000,58.4500,57.4000,-13377,0,0,0,-13377,
Mark-to-Market Performance Summary,Data,Stocks,2359,102000,102000,96.5000,98.4500,25339.86,0,0,0,25339.86,
Mark-to-Market Performance Summary,Data,Stocks,2800,175000,175000,26.1600,25.8800,-6242.6,0,0,0,-6242.6,
Mark-to-Market Performance Summary,Data,Stocks,2828,172800,172800,94.6600,93.6200,-22895.3088,0,0,0,-22895.3088,
Mark-to-Market Performance Summary,Data,Stocks,2899,500000,500000,22.5500,22.4500,-6370,0,0,0,-6370,
Mark-to-Market Performance Summary,Data,Stocks,3067,684000,684000,12.0700,11.9500,-10456.992,0,0,0,-10456.992,
Mark-to-Market Performance Summary,Data,Stocks,388,26500,26500,448.2000,435.8000,-41863.64,0,0,0,-41863.64,
Mark-to-Market Performance Summary,Data,Stocks,3888,75000,75000,34.9500,34.9000,-477.75,0,0,0,-477.75,
Mark-to-Market Performance Summary,Data,Stocks,3988,3840000,3840000,4.7300,4.6700,-29352.96,0,0,0,-29352.96,
Mark-to-Market Performance Summary,Data,Stocks,700,24500,24500,557.0000,550.5000,-20288.45,0,0,0,-20288.45,
Mark-to-Market Performance Summary,Data,Stocks,762,0,1966000,--,9.4500,0,-2435.888,-3863.256342036,0,-6299.144342036,
Mark-to-Market Performance Summary,Data,Stocks,857,616000,616000,7.4600,7.4500,-784.784,0,0,0,-784.784,
Mark-to-Market Performance Summary,Data,Stocks,883,174000,174000,19.0600,19.0800,443.352,0,0,0,443.352,
Mark-to-Market Performance Summary,Data,Stocks,941,144000,0,87.3000,86.5500,-13759.2,4509.96,-2594.70766828,0,-11843.94766828,
Mark-to-Market Performance Summary,Data,Stocks,9633,132000,132000,44.9000,46.5000,26906.88,0,0,0,26906.88,
Mark-to-Market Performance Summary,Data,Stocks,9961,11000,11000,506.5000,503.5000,-4204.2,0,0,0,-4204.2,
Mark-to-Market Performance Summary,Data,Stocks,A17U,150000,150000,2.8000,2.7900,-1170.645,0,0,0,-1170.645,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,438,438,213.7600,213.8800,52.56,0,0,0,52.56,
Mark-to-Market Performance Summary,Data,Stocks,AMD,7310,7310,162.1200,166.4700,31798.5,0,0,0,31798.5,
Mark-to-Market Performance Summary,Data,Stocks,APP,36,36,359.9400,364.1400,151.2,0,0,0,151.2,
